종목,사이클 위치,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정
SPY,중간선거해,위,-25.0,최근 10년,2,24.89,12.44,100.0,,,,12.44,,0,24.11,0.78,-19.59,16.49,0,0,187.0,아니오,2018-09-28,2022-09-30,판정 안 함
SPY,중간선거해,위,-25.0,최근 5년,1,24.11,24.11,100.0,,,,24.11,,0,24.11,24.11,-2.54,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
SPY,중간선거해,위,-30.0,전체,8,129.46,16.18,100.0,,,,16.18,,0,34.64,0.78,-19.59,10.71,0,0,187.88,아니오,1994-09-30,2022-09-30,후보
SPY,중간선거해,위,-30.0,앞 절반,4,84.46,21.11,100.0,,,,21.11,,0,34.64,12.61,-9.37,9.47,0,0,188.0,아니오,1994-09-30,2006-09-29,판정 안 함
SPY,중간선거해,위,-30.0,뒤 절반,4,45.0,11.25,100.0,,,,11.25,,0,24.11,0.78,-19.59,10.64,0,0,187.75,아니오,2010-09-30,2022-09-30,판정 안 함
SPY,중간선거해,위,-30.0,최근 10년,2,24.89,12.44,100.0,,,,12.44,,0,24.11,0.78,-19.59,16.49,0,0,187.0,아니오,2018-09-28,2022-09-30,판정 안 함
SPY,중간선거해,위,-30.0,최근 5년,1,24.11,24.11,100.0,,,,24.11,,0,24.11,24.11,-2.54,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,무손절,전체,7,111.51,15.93,100.0,,,,15.93,,0,39.89,0.55,-17.94,12.85,0,0,187.71,아니오,1998-09-30,2022-09-30,후보
DIA,중간선거해,위,무손절,앞 절반,3,73.15,24.38,100.0,,,,24.38,,0,39.89,14.96,-5.22,13.53,0,0,187.67,아니오,1998-09-30,2006-09-29,판정 안 함
DIA,중간선거해,위,무손절,뒤 절반,4,38.37,9.59,100.0,,,,9.59,,0,19.68,0.55,-17.94,9.11,0,0,187.75,아니오,2010-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,무손절,최근 10년,2,20.23,10.12,100.0,,,,10.12,,0,19.68,0.55,-17.94,13.53,0,0,187.0,아니오,2018-09-28,2022-09-30,판정 안 함
DIA,중간선거해,위,무손절,최근 5년,1,19.68,19.68,100.0,,,,19.68,,0,19.68,19.68,-0.24,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-5.0,전체,7,74.06,10.58,57.14,4.399,18.52,38.62,22.32,-5.07,3,39.89,-5.22,-5.22,16.9,1,2,111.29,아니오,1998-09-30,2022-09-30,후보
DIA,중간선거해,위,-5.0,앞 절반,3,49.84,16.61,66.67,5.484,15.42,51.25,27.42,-5.0,1,39.89,-5.0,-5.0,22.49,0,1,127.67,아니오,1998-09-30,2006-09-29,판정 안 함
DIA,중간선거해,위,-5.0,뒤 절반,4,24.21,6.05,50.0,3.369,22.89,27.11,17.22,-5.11,2,19.68,-5.22,-5.22,13.05,1,1,99.0,아니오,2010-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-5.0,최근 10년,2,14.68,7.34,50.0,3.937,20.26,29.74,19.68,-5.0,1,19.68,-5.0,-5.0,17.45,0,1,98.0,아니오,2018-09-28,2022-09-30,판정 안 함
DIA,중간선거해,위,-5.0,최근 5년,1,19.68,19.68,100.0,,,,19.68,,0,19.68,19.68,-0.24,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
DIA,중간선거해,위,-8.0,전체,7,102.96,14.71,85.71,2.312,30.2,55.51,18.49,-8.0,1,39.89,-8.0,-8.0,14.81,0,1,164.0,아니오,1998-09-30,2022-09-30,후보
DIA,중간선거해,위,-8.0,앞 절반,3,73.15,24.38,100.0,,,,24.38,,0,39.89,14.96,-5.22,13.53,0,0,187.67,아니오,1998-09-30,2006-09-29,판정 안 함
