종목,사이클 위치,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정
QQQ,중간선거해,위,-30.0,앞 절반,3,77.91,25.97,100.0,,,,25.97,,0,44.55,16.26,-4.63,16.09,0,0,188.0,아니오,2002-09-30,2010-09-30,판정 안 함
QQQ,중간선거해,위,-30.0,뒤 절반,3,47.12,15.71,100.0,,,,15.71,,0,38.22,0.51,-22.78,19.9,0,0,187.33,아니오,2014-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-30.0,최근 10년,2,38.74,19.37,100.0,,,,19.37,,0,38.22,0.51,-22.78,26.67,0,0,187.0,아니오,2018-09-28,2022-09-30,판정 안 함
QQQ,중간선거해,위,-30.0,최근 5년,1,38.22,38.22,100.0,,,,38.22,,0,38.22,38.22,-4.86,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
S&P 500 지수,중간선거해,위,손절불가,전체,24,405.05,16.88,91.67,1.26,44.25,47.42,19.84,-15.75,2,49.81,-20.23,-34.37,16.23,0,0,187.75,예,1930-09-30,2022-09-30,판정 안 함
S&P 500 지수,중간선거해,위,손절불가,앞 절반,12,182.61,15.22,83.33,1.359,42.38,40.95,21.41,-15.75,2,49.81,-20.23,-34.37,19.57,0,0,187.17,예,1930-09-30,1974-09-30,판정 안 함
S&P 500 지수,중간선거해,위,손절불가,뒤 절반,12,222.44,18.54,100.0,,,,18.54,,0,39.21,0.36,-19.32,12.73,0,0,188.33,예,1978-09-29,2022-09-30,판정 안 함
S&P 500 지수,중간선거해,위,손절불가,최근 10년,2,25.07,12.54,100.0,,,,12.54,,0,24.12,0.95,-19.32,16.38,0,0,187.0,아니오,2018-09-28,2022-09-30,판정 안 함
S&P 500 지수,중간선거해,위,손절불가,최근 5년,1,24.12,24.12,100.0,,,,24.12,,0,24.12,24.12,-0.24,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
나스닥 종합 지수,중간선거해,위,손절불가,전체,13,381.74,29.36,92.31,63.899,1.54,90.77,31.85,-0.5,1,69.84,-0.5,-23.03,21.84,0,0,188.38,예,1974-09-30,2022-09-30,판정 안 함
나스닥 종합 지수,중간선거해,위,손절불가,앞 절반,6,211.48,35.25,100.0,,,,35.25,,0,69.84,3.94,-16.56,24.5,0,0,189.17,아니오,1974-09-30,1994-09-30,판정 안 함
나스닥 종합 지수,중간선거해,위,손절불가,뒤 절반,7,170.26,24.32,85.71,57.092,1.72,83.99,28.46,-0.5,1,58.58,-0.5,-23.03,19.74,0,0,187.71,아니오,1998-09-30,2022-09-30,판정 안 함
나스닥 종합 지수,중간선거해,위,손절불가,최근 10년,2,29.88,14.94,50.0,60.934,1.61,48.39,30.37,-0.5,1,30.37,-0.5,-23.03,21.83,0,0,187.0,아니오,2018-09-28,2022-09-30,판정 안 함
나스닥 종합 지수,중간선거해,위,손절불가,최근 5년,1,30.37,30.37,100.0,,,,30.37,,0,30.37,30.37,-3.43,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
