종목,사이클 위치,진입 연도,방향,손절선(%),진입일,진입가,청산일,보유일,청산가,수익률(%),보유 중 최악(%),청산 사유
DIA,대선해,2020,위,무손절,2020-10-01,278.14,2021-06-30,187,344.95,24.02,-6.01,기한청산
DIA,대선해,2024,위,무손절,2024-10-01,421.5,2025-06-30,185,440.65,4.54,-13.09,기한청산
DIA,대선해,2000,위,-5.0,2000-10-02,107.0938,2000-10-12,8,101.7391,-5.0,-5.0,장중손절
DIA,대선해,2004,위,-5.0,2004-10-01,102.16,2005-06-30,188,102.75,0.58,-4.79,기한청산
DIA,대선해,2008,위,-5.0,2008-10-01,108.7,2008-10-03,2,103.265,-5.0,-5.0,장중손절
DIA,대선해,2012,위,-5.0,2012-10-01,134.78,2012-11-08,26,128.041,-5.0,-5.0,장중손절
DIA,대선해,2016,위,-5.0,2016-10-03,182.32,2017-06-30,187,213.24,16.96,-2.02,기한청산
DIA,대선해,2020,위,-5.0,2020-10-01,278.14,2020-10-29,20,264.233,-5.0,-5.0,장중손절
DIA,대선해,2024,위,-5.0,2024-10-01,421.5,2025-04-04,127,394.93,-6.3,-6.3,갭손절
DIA,대선해,2000,위,-8.0,2000-10-02,107.0938,2000-10-18,12,98.5263,-8.0,-8.0,장중손절
DIA,대선해,2004,위,-8.0,2004-10-01,102.16,2005-06-30,188,102.75,0.58,-4.79,기한청산
DIA,대선해,2008,위,-8.0,2008-10-01,108.7,2008-10-06,3,100.004,-8.0,-8.0,장중손절
DIA,대선해,2012,위,-8.0,2012-10-01,134.78,2013-06-28,185,148.55,10.22,-7.69,기한청산
DIA,대선해,2016,위,-8.0,2016-10-03,182.32,2017-06-30,187,213.24,16.96,-2.02,기한청산
DIA,대선해,2020,위,-8.0,2020-10-01,278.14,2021-06-30,187,344.95,24.02,-6.01,기한청산
DIA,대선해,2024,위,-8.0,2024-10-01,421.5,2025-04-04,127,387.78,-8.0,-8.0,장중손절
DIA,대선해,2000,위,-10.0,2000-10-02,107.0938,2001-03-21,117,96.3844,-10.0,-10.0,장중손절
DIA,대선해,2004,위,-10.0,2004-10-01,102.16,2005-06-30,188,102.75,0.58,-4.79,기한청산
DIA,대선해,2008,위,-10.0,2008-10-01,108.7,2008-10-06,3,97.83,-10.0,-10.0,장중손절
DIA,대선해,2012,위,-10.0,2012-10-01,134.78,2013-06-28,185,148.55,10.22,-7.69,기한청산
DIA,대선해,2016,위,-10.0,2016-10-03,182.32,2017-06-30,187,213.24,16.96,-2.02,기한청산
DIA,대선해,2020,위,-10.0,2020-10-01,278.14,2021-06-30,187,344.95,24.02,-6.01,기한청산
DIA,대선해,2024,위,-10.0,2024-10-01,421.5,2025-04-07,128,371.38,-11.89,-11.89,갭손절
DIA,대선해,2000,위,-12.0,2000-10-02,107.0938,2001-03-22,118,94.2425,-12.0,-12.0,장중손절
DIA,대선해,2004,위,-12.0,2004-10-01,102.16,2005-06-30,188,102.75,0.58,-4.79,기한청산
DIA,대선해,2008,위,-12.0,2008-10-01,108.7,2008-10-06,3,95.656,-12.0,-12.0,장중손절
DIA,대선해,2012,위,-12.0,2012-10-01,134.78,2013-06-28,185,148.55,10.22,-7.69,기한청산
DIA,대선해,2016,위,-12.0,2016-10-03,182.32,2017-06-30,187,213.24,16.96,-2.02,기한청산
DIA,대선해,2020,위,-12.0,2020-10-01,278.14,2021-06-30,187,344.95,24.02,-6.01,기한청산
DIA,대선해,2024,위,-12.0,2024-10-01,421.5,2025-04-07,128,370.92,-12.0,-12.0,장중손절
DIA,대선해,2000,위,-15.0,2000-10-02,107.0938,2001-03-22,118,91.0297,-15.0,-15.0,장중손절
