종목,조합,월,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정
SPY,20일→다음주금,12,아래,무손절,최근 10년,10,-7.99,-0.8,30.0,0.344,74.43,-44.43,0.46,-1.34,7,1.27,-4.39,-5.28,1.49,0,0,5.5,예,2016-12-20,2025-12-19,판정 안 함
SPY,20일→다음주금,12,아래,무손절,최근 5년,5,-8.47,-1.69,0.0,0.0,100.0,-100.0,,-1.69,5,-0.5,-4.39,-5.28,1.57,0,0,5.8,아니오,2021-12-20,2025-12-19,판정 안 함
SPY,20일→말일,9,위,-5.0,전체,33,-30.8,-0.93,30.3,0.659,58.46,-28.16,1.32,-2.0,22,5.8,-5.76,-5.76,2.29,1,3,6.58,예,1993-09-20,2025-09-19,제외
SPY,20일→말일,9,위,-5.0,앞 절반,16,-10.96,-0.69,31.25,0.886,49.7,-18.45,1.74,-1.97,10,5.8,-5.0,-5.0,2.62,0,2,6.62,예,1993-09-20,2008-09-19,판정 안 함
SPY,20일→말일,9,위,-5.0,뒤 절반,17,-19.84,-1.17,29.41,0.439,69.49,-40.08,0.89,-2.02,12,1.35,-5.76,-5.76,1.98,1,1,6.53,예,2009-09-18,2025-09-19,판정 안 함
SPY,20일→말일,9,위,-5.0,최근 10년,10,-5.71,-0.57,50.0,0.438,69.56,-19.56,0.89,-2.03,5,1.35,-5.0,-5.0,1.98,0,1,6.6,예,2016-09-20,2025-09-19,판정 안 함
SPY,20일→말일,9,위,-5.0,최근 5년,5,-7.33,-1.47,40.0,0.232,81.15,-41.15,0.67,-2.89,3,0.97,-5.0,-5.0,2.4,0,1,6.2,아니오,2021-09-20,2025-09-19,판정 안 함
SPY,20일→말일,9,위,무손절,전체,33,-33.05,-1.0,30.3,0.627,59.61,-29.31,1.32,-2.1,22,5.8,-7.01,-10.95,2.46,0,0,7.15,예,1993-09-20,2025-09-19,제외
SPY,20일→말일,9,위,무손절,앞 절반,16,-11.12,-0.69,31.25,0.879,49.89,-18.64,1.74,-1.98,10,5.8,-6.55,-10.95,2.69,0,0,7.12,예,1993-09-20,2008-09-19,판정 안 함
SPY,20일→말일,9,위,무손절,뒤 절반,17,-21.93,-1.29,29.41,0.404,71.21,-41.8,0.89,-2.2,12,1.35,-7.01,-7.38,2.28,0,0,7.18,예,2009-09-18,2025-09-19,판정 안 함
SPY,20일→말일,9,위,무손절,최근 10년,10,-7.72,-0.77,50.0,0.365,73.24,-23.24,0.89,-2.43,5,1.35,-7.01,-7.04,2.51,0,0,7.1,예,2016-09-20,2025-09-19,판정 안 함
SPY,20일→말일,9,위,무손절,최근 5년,5,-9.34,-1.87,40.0,0.189,84.13,-44.13,0.67,-3.56,3,0.97,-7.01,-7.04,3.18,0,0,7.2,아니오,2021-09-20,2025-09-19,판정 안 함
SPY,20일→말일,9,아래,-5.0,전체,33,33.85,1.03,66.67,1.7,35.92,30.75,2.1,-1.24,10,7.01,-5.0,-5.0,2.4,0,1,7.15,예,1993-09-20,2025-09-19,후보
SPY,20일→말일,9,아래,-5.0,앞 절반,16,11.92,0.75,62.5,1.253,41.61,20.89,1.98,-1.58,5,6.55,-5.0,-5.0,2.56,0,1,7.12,예,1993-09-20,2008-09-19,판정 안 함
SPY,20일→말일,9,아래,-5.0,뒤 절반,17,21.93,1.29,70.59,2.473,28.79,41.8,2.2,-0.89,5,7.01,-1.35,-2.5,2.28,0,0,7.18,예,2009-09-18,2025-09-19,판정 안 함
SPY,20일→말일,9,아래,-5.0,최근 10년,10,7.72,0.77,50.0,2.737,26.76,23.24,2.43,-0.89,5,7.01,-1.35,-2.5,2.51,0,0,7.1,예,2016-09-20,2025-09-19,판정 안 함
SPY,20일→말일,9,아래,-5.0,최근 5년,5,9.34,1.87,60.0,5.3,15.87,44.13,3.56,-0.67,2,7.01,-0.97,-2.5,3.18,0,0,7.2,아니오,2021-09-20,2025-09-19,판정 안 함
SPY,20일→말일,9,아래,무손절,전체,33,33.05,1.0,66.67,1.596,37.36,29.31,2.1,-1.32,10,7.01,-5.8,-11.05,2.46,0,0,7.15,예,1993-09-20,2025-09-19,후보
SPY,20일→말일,9,아래,무손절,앞 절반,16,11.12,0.69,62.5,1.137,43.86,18.64,1.98,-1.74,5,6.55,-5.8,-11.05,2.69,0,0,7.12,예,1993-09-20,2008-09-19,판정 안 함
SPY,20일→말일,9,아래,무손절,뒤 절반,17,21.93,1.29,70.59,2.473,28.79,41.8,2.2,-0.89,5,7.01,-1.35,-2.5,2.28,0,0,7.18,예,2009-09-18,2025-09-19,판정 안 함
SPY,20일→말일,9,아래,무손절,최근 10년,10,7.72,0.77,50.0,2.737,26.76,23.24,2.43,-0.89,5,7.01,-1.35,-2.5,2.51,0,0,7.1,예,2016-09-20,2025-09-19,판정 안 함
SPY,20일→말일,9,아래,무손절,최근 5년,5,9.34,1.87,60.0,5.3,15.87,44.13,3.56,-0.67,2,7.01,-0.97,-2.5,3.18,0,0,7.2,아니오,2021-09-20,2025-09-19,판정 안 함
SPY,20일→말일,12,위,-5.0,전체,33,21.0,0.64,57.58,1.752,36.34,21.24,1.91,-1.09,14,4.39,-5.0,-5.0,1.96,0,1,6.73,예,1993-12-20,2025-12-19,제외
SPY,20일→말일,12,위,-5.0,앞 절반,16,15.36,0.96,50.0,3.686,21.34,28.66,2.64,-0.72,8,4.06,-1.96,-3.2,1.95,0,0,6.81,예,1993-12-20,2008-12-19,판정 안 함
SPY,20일→말일,12,위,-5.0,뒤 절반,17,5.64,0.33,64.71,0.868,53.53,11.18,1.38,-1.59,6,4.39,-5.0,-5.0,1.99,0,1,6.65,예,2009-12-18,2025-12-19,판정 안 함
SPY,20일→말일,12,위,-5.0,최근 10년,10,1.03,0.1,60.0,0.762,56.76,3.24,1.37,-1.8,4,4.39,-5.0,-5.0,2.38,0,1,6.3,예,2016-12-20,2025-12-19,판정 안 함
SPY,20일→말일,12,위,-5.0,최근 5년,5,5.73,1.15,80.0,1.921,34.24,45.76,1.65,-0.86,1,4.39,-0.86,-1.52,2.0,0,0,6.8,아니오,2021-12-20,2025-12-19,판정 안 함
SPY,20일→말일,12,위,무손절,전체,33,27.11,0.82,60.61,2.369,29.68,30.93,1.87,-0.79,13,4.39,-1.96,-5.43,1.68,0,0,6.85,예,1993-12-20,2025-12-19,제외
SPY,20일→말일,12,위,무손절,앞 절반,16,15.36,0.96,50.0,3.686,21.34,28.66,2.64,-0.72,8,4.06,-1.96,-3.2,1.95,0,0,6.81,예,1993-12-20,2008-12-19,판정 안 함
SPY,20일→말일,12,위,무손절,뒤 절반,17,11.75,0.69,70.59,1.497,40.04,30.55,1.36,-0.91,5,4.39,-1.87,-5.43,1.44,0,0,6.88,예,2009-12-18,2025-12-19,판정 안 함
SPY,20일→말일,12,위,무손절,최근 10년,10,7.14,0.71,70.0,1.826,35.38,34.62,1.33,-0.73,3,4.39,-1.27,-5.43,1.57,0,0,6.7,예,2016-12-20,2025-12-19,판정 안 함
SPY,20일→말일,12,위,무손절,최근 5년,5,5.73,1.15,80.0,1.921,34.24,45.76,1.65,-0.86,1,4.39,-0.86,-1.52,2.0,0,0,6.8,아니오,2021-12-20,2025-12-19,판정 안 함
SPY,20일→말일,12,아래,-5.0,전체,33,-29.75,-0.9,39.39,0.394,71.72,-32.33,0.79,-2.0,20,1.96,-5.0,-5.0,1.85,0,3,6.64,예,1993-12-20,2025-12-19,제외
SPY,20일→말일,12,아래,-5.0,앞 절반,16,-17.39,-1.09,50.0,0.248,80.16,-30.16,0.72,-2.89,8,1.96,-5.0,-5.0,2.18,0,2,6.56,예,1993-12-20,2008-12-19,판정 안 함
SPY,20일→말일,12,아래,-5.0,뒤 절반,17,-12.36,-0.73,29.41,0.644,60.83,-31.42,0.91,-1.41,12,1.87,-5.0,-5.0,1.54,0,1,6.71,예,2009-12-18,2025-12-19,판정 안 함
SPY,20일→말일,12,아래,-5.0,최근 10년,10,-7.75,-0.77,30.0,0.514,66.05,-36.05,0.73,-1.42,7,1.27,-5.0,-5.0,1.73,0,1,6.4,예,2016-12-20,2025-12-19,판정 안 함
SPY,20일→말일,12,아래,-5.0,최근 5년,5,-6.34,-1.27,20.0,0.477,67.72,-47.72,0.86,-1.8,4,0.86,-5.0,-5.0,2.25,0,1,6.2,아니오,2021-12-20,2025-12-19,판정 안 함
SPY,20일→말일,12,아래,무손절,전체,33,-27.11,-0.82,39.39,0.422,70.32,-30.93,0.79,-1.87,20,1.96,-4.39,-6.36,1.68,0,0,6.85,예,1993-12-20,2025-12-19,제외
SPY,20일→말일,12,아래,무손절,앞 절반,16,-15.36,-0.96,50.0,0.271,78.66,-28.66,0.72,-2.64,8,1.96,-4.06,-6.36,1.95,0,0,6.81,예,1993-12-20,2008-12-19,판정 안 함
SPY,20일→말일,12,아래,무손절,뒤 절반,17,-11.75,-0.69,29.41,0.668,59.96,-30.55,0.91,-1.36,12,1.87,-4.39,-5.28,1.44,0,0,6.88,예,2009-12-18,2025-12-19,판정 안 함
SPY,20일→말일,12,아래,무손절,최근 10년,10,-7.14,-0.71,30.0,0.548,64.62,-34.62,0.73,-1.33,7,1.27,-4.39,-5.28,1.57,0,0,6.7,예,2016-12-20,2025-12-19,판정 안 함
SPY,20일→말일,12,아래,무손절,최근 5년,5,-5.73,-1.15,20.0,0.521,65.76,-45.76,0.86,-1.65,4,0.86,-4.39,-5.28,2.0,0,0,6.8,아니오,2021-12-20,2025-12-19,판정 안 함
DIA,만기→다음주금,9,위,-5.0,전체,28,-29.48,-1.05,28.57,0.797,55.63,-27.06,1.73,-2.16,20,6.7,-6.02,-6.02,2.6,1,3,4.86,예,1998-09-18,2025-09-19,제외
DIA,만기→다음주금,9,위,-5.0,앞 절반,14,-17.74,-1.27,28.57,0.981,50.48,-21.91,2.86,-2.92,10,6.7,-6.02,-6.02,3.42,1,2,4.71,예,1998-09-18,2011-09-16,판정 안 함
DIA,만기→다음주금,9,위,-5.0,뒤 절반,14,-11.74,-0.84,28.57,0.417,70.58,-42.01,0.59,-1.41,10,0.8,-5.0,-5.0,1.49,0,1,5.0,예,2012-09-21,2025-09-19,판정 안 함
DIA,만기→다음주금,9,위,-5.0,최근 10년,10,-7.92,-0.79,40.0,0.343,74.45,-34.45,0.59,-1.71,6,0.8,-5.0,-5.0,1.77,0,1,5.0,예,2016-09-16,2025-09-19,판정 안 함
DIA,만기→다음주금,9,위,-5.0,최근 5년,5,-5.83,-1.17,40.0,0.258,79.48,-39.48,0.61,-2.35,3,0.65,-5.0,-5.0,2.37,0,1,5.0,아니오,2021-09-17,2025-09-19,판정 안 함
DIA,만기→다음주금,9,위,무손절,전체,28,-26.29,-0.94,28.57,0.861,53.74,-25.17,1.73,-2.01,20,6.7,-6.45,-7.96,2.49,0,0,5.0,예,1998-09-18,2025-09-19,제외
DIA,만기→다음주금,9,위,무손절,앞 절반,14,-15.6,-1.11,28.57,1.059,48.57,-20.0,2.86,-2.71,10,6.7,-6.45,-7.96,3.34,0,0,5.0,예,1998-09-18,2011-09-16,판정 안 함
DIA,만기→다음주금,9,위,무손절,뒤 절반,14,-10.7,-0.76,28.57,0.45,68.95,-40.38,0.59,-1.3,10,0.8,-3.96,-5.08,1.27,0,0,5.0,예,2012-09-21,2025-09-19,판정 안 함
DIA,만기→다음주금,9,위,무손절,최근 10년,10,-6.87,-0.69,40.0,0.382,72.36,-32.36,0.59,-1.54,6,0.8,-3.96,-5.08,1.5,0,0,5.0,예,2016-09-16,2025-09-19,판정 안 함
DIA,만기→다음주금,9,위,무손절,최근 5년,5,-4.78,-0.96,40.0,0.303,76.74,-36.74,0.61,-2.0,3,0.65,-3.96,-5.08,1.96,0,0,5.0,아니오,2021-09-17,2025-09-19,판정 안 함
DIA,만기→다음주금,9,아래,-5.0,전체,28,28.0,1.0,71.43,1.325,43.01,28.42,2.01,-1.51,8,6.45,-5.0,-5.0,2.31,0,1,4.89,예,1998-09-18,2025-09-19,후보
DIA,만기→다음주금,9,아래,-5.0,앞 절반,14,17.3,1.24,71.43,1.109,47.41,24.02,2.71,-2.44,4,6.45,-5.0,-5.0,3.05,0,1,4.79,예,1998-09-18,2011-09-16,판정 안 함
DIA,만기→다음주금,9,아래,-5.0,뒤 절반,14,10.7,0.76,71.43,2.221,31.05,40.38,1.3,-0.59,4,3.96,-0.8,-1.82,1.27,0,0,5.0,예,2012-09-21,2025-09-19,판정 안 함
DIA,만기→다음주금,9,아래,-5.0,최근 10년,10,6.87,0.69,60.0,2.617,27.64,32.36,1.54,-0.59,4,3.96,-0.8,-1.82,1.5,0,0,5.0,예,2016-09-16,2025-09-19,판정 안 함
DIA,만기→다음주금,9,아래,-5.0,최근 5년,5,4.78,0.96,60.0,3.3,23.26,36.74,2.0,-0.61,2,3.96,-0.65,-1.34,1.96,0,0,5.0,아니오,2021-09-17,2025-09-19,판정 안 함
DIA,만기→다음주금,9,아래,무손절,전체,28,26.29,0.94,71.43,1.162,46.26,25.17,2.01,-1.73,8,6.45,-6.7,-7.17,2.49,0,0,5.0,예,1998-09-18,2025-09-19,제외
DIA,만기→다음주금,9,아래,무손절,앞 절반,14,15.6,1.11,71.43,0.945,51.43,20.0,2.71,-2.86,4,6.45,-6.7,-7.17,3.34,0,0,5.0,예,1998-09-18,2011-09-16,판정 안 함
DIA,만기→다음주금,9,아래,무손절,뒤 절반,14,10.7,0.76,71.43,2.221,31.05,40.38,1.3,-0.59,4,3.96,-0.8,-1.82,1.27,0,0,5.0,예,2012-09-21,2025-09-19,판정 안 함
DIA,만기→다음주금,9,아래,무손절,최근 10년,10,6.87,0.69,60.0,2.617,27.64,32.36,1.54,-0.59,4,3.96,-0.8,-1.82,1.5,0,0,5.0,예,2016-09-16,2025-09-19,판정 안 함
DIA,만기→다음주금,9,아래,무손절,최근 5년,5,4.78,0.96,60.0,3.3,23.26,36.74,2.0,-0.61,2,3.96,-0.65,-1.34,1.96,0,0,5.0,아니오,2021-09-17,2025-09-19,판정 안 함
DIA,만기→다음주금,12,위,-5.0,전체,28,25.08,0.9,82.14,1.034,49.16,32.98,1.38,-1.34,5,3.8,-2.8,-3.18,1.52,0,0,4.29,예,1998-12-18,2025-12-19,제외
DIA,만기→다음주금,12,위,-5.0,앞 절반,14,12.89,0.92,71.43,1.517,39.73,31.7,1.75,-1.15,4,3.8,-2.8,-2.87,1.84,0,0,4.29,예,1998-12-18,2011-12-16,판정 안 함
DIA,만기→다음주금,12,위,-5.0,뒤 절반,14,12.2,0.87,92.86,0.532,65.29,27.57,1.1,-2.06,1,2.85,-2.06,-3.18,1.18,0,0,4.29,예,2012-12-21,2025-12-19,판정 안 함
DIA,만기→다음주금,12,위,-5.0,최근 10년,10,8.85,0.88,100.0,,,,0.88,,0,2.85,0.04,-3.18,0.84,0,0,4.4,예,2016-12-16,2025-12-19,판정 안 함
DIA,만기→다음주금,12,위,-5.0,최근 5년,5,4.4,0.88,100.0,,,,0.88,,0,1.62,0.31,-2.0,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
DIA,만기→다음주금,12,위,무손절,전체,28,25.08,0.9,82.14,1.034,49.16,32.98,1.38,-1.34,5,3.8,-2.8,-3.18,1.52,0,0,4.29,예,1998-12-18,2025-12-19,제외
DIA,만기→다음주금,12,위,무손절,앞 절반,14,12.89,0.92,71.43,1.517,39.73,31.7,1.75,-1.15,4,3.8,-2.8,-2.87,1.84,0,0,4.29,예,1998-12-18,2011-12-16,판정 안 함
DIA,만기→다음주금,12,위,무손절,뒤 절반,14,12.2,0.87,92.86,0.532,65.29,27.57,1.1,-2.06,1,2.85,-2.06,-3.18,1.18,0,0,4.29,예,2012-12-21,2025-12-19,판정 안 함
DIA,만기→다음주금,12,위,무손절,최근 10년,10,8.85,0.88,100.0,,,,0.88,,0,2.85,0.04,-3.18,0.84,0,0,4.4,예,2016-12-16,2025-12-19,판정 안 함
DIA,만기→다음주금,12,위,무손절,최근 5년,5,4.4,0.88,100.0,,,,0.88,,0,1.62,0.31,-2.0,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
DIA,만기→다음주금,12,아래,-5.0,전체,28,-25.08,-0.9,17.86,0.967,50.84,-32.98,1.34,-1.38,23,2.8,-3.8,-4.34,1.52,0,0,4.29,예,1998-12-18,2025-12-19,제외
DIA,만기→다음주금,12,아래,-5.0,앞 절반,14,-12.89,-0.92,28.57,0.659,60.27,-31.7,1.15,-1.75,10,2.8,-3.8,-4.28,1.84,0,0,4.29,예,1998-12-18,2011-12-16,판정 안 함
DIA,만기→다음주금,12,아래,-5.0,뒤 절반,14,-12.2,-0.87,7.14,1.881,34.71,-27.57,2.06,-1.1,13,2.06,-2.85,-4.34,1.18,0,0,4.29,예,2012-12-21,2025-12-19,판정 안 함
DIA,만기→다음주금,12,아래,-5.0,최근 10년,10,-8.85,-0.88,0.0,0.0,100.0,-100.0,,-0.88,10,-0.04,-2.85,-4.34,0.84,0,0,4.4,예,2016-12-16,2025-12-19,판정 안 함
DIA,만기→다음주금,12,아래,-5.0,최근 5년,5,-4.4,-0.88,0.0,0.0,100.0,-100.0,,-0.88,5,-0.31,-1.62,-1.94,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
DIA,만기→다음주금,12,아래,무손절,전체,28,-25.08,-0.9,17.86,0.967,50.84,-32.98,1.34,-1.38,23,2.8,-3.8,-4.34,1.52,0,0,4.29,예,1998-12-18,2025-12-19,제외
DIA,만기→다음주금,12,아래,무손절,앞 절반,14,-12.89,-0.92,28.57,0.659,60.27,-31.7,1.15,-1.75,10,2.8,-3.8,-4.28,1.84,0,0,4.29,예,1998-12-18,2011-12-16,판정 안 함
DIA,만기→다음주금,12,아래,무손절,뒤 절반,14,-12.2,-0.87,7.14,1.881,34.71,-27.57,2.06,-1.1,13,2.06,-2.85,-4.34,1.18,0,0,4.29,예,2012-12-21,2025-12-19,판정 안 함
DIA,만기→다음주금,12,아래,무손절,최근 10년,10,-8.85,-0.88,0.0,0.0,100.0,-100.0,,-0.88,10,-0.04,-2.85,-4.34,0.84,0,0,4.4,예,2016-12-16,2025-12-19,판정 안 함
DIA,만기→다음주금,12,아래,무손절,최근 5년,5,-4.4,-0.88,0.0,0.0,100.0,-100.0,,-0.88,5,-0.31,-1.62,-1.94,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
DIA,만기→말일,9,위,-5.0,전체,28,-34.64,-1.24,32.14,0.573,63.56,-31.42,1.43,-2.5,19,6.7,-6.02,-6.02,2.66,1,4,7.14,예,1998-09-18,2025-09-19,제외
DIA,만기→말일,9,위,-5.0,앞 절반,14,-20.85,-1.49,28.57,0.819,54.97,-26.4,2.54,-3.1,10,6.7,-6.02,-6.02,3.43,1,3,7.0,예,1998-09-18,2011-09-16,판정 안 함
DIA,만기→말일,9,위,-5.0,뒤 절반,14,-13.78,-0.98,35.71,0.299,76.96,-41.25,0.55,-1.84,9,1.0,-5.0,-5.0,1.69,0,1,7.29,예,2012-09-21,2025-09-19,판정 안 함
DIA,만기→말일,9,위,-5.0,최근 10년,10,-8.65,-0.87,50.0,0.241,80.57,-30.57,0.55,-2.28,5,1.0,-5.0,-5.0,1.98,0,1,7.6,예,2016-09-16,2025-09-19,판정 안 함
DIA,만기→말일,9,위,-5.0,최근 5년,5,-9.58,-1.92,40.0,0.113,89.86,-49.86,0.39,-3.45,3,0.61,-5.0,-5.0,2.35,0,1,7.4,아니오,2021-09-17,2025-09-19,판정 안 함
DIA,만기→말일,9,위,무손절,전체,28,-34.1,-1.22,32.14,0.58,63.29,-31.15,1.43,-2.47,19,6.7,-6.74,-8.42,2.65,0,0,7.86,예,1998-09-18,2025-09-19,제외
DIA,만기→말일,9,위,무손절,앞 절반,14,-18.58,-1.33,28.57,0.884,53.08,-24.51,2.54,-2.87,10,6.7,-5.16,-8.42,3.23,0,0,8.07,예,1998-09-18,2011-09-16,판정 안 함
DIA,만기→말일,9,위,무손절,뒤 절반,14,-15.52,-1.11,35.71,0.271,78.68,-42.97,0.55,-2.03,9,1.0,-6.74,-6.82,2.04,0,0,7.64,예,2012-09-21,2025-09-19,판정 안 함
DIA,만기→말일,9,위,무손절,최근 10년,10,-10.39,-1.04,50.0,0.209,82.7,-32.7,0.55,-2.63,5,1.0,-6.74,-6.82,2.42,0,0,8.1,예,2016-09-16,2025-09-19,판정 안 함
DIA,만기→말일,9,위,무손절,최근 5년,5,-11.32,-2.26,40.0,0.097,91.19,-51.19,0.39,-4.03,3,0.61,-6.74,-6.82,2.96,0,0,8.4,아니오,2021-09-17,2025-09-19,판정 안 함
DIA,만기→말일,9,아래,-5.0,전체,28,35.8,1.28,67.86,1.986,33.49,34.37,2.47,-1.25,9,6.74,-5.0,-5.0,2.48,0,1,7.75,예,1998-09-18,2025-09-19,후보
DIA,만기→말일,9,아래,-5.0,앞 절반,14,20.28,1.45,71.43,1.359,42.4,29.03,2.87,-2.12,4,5.16,-5.0,-5.0,2.93,0,1,7.86,예,1998-09-18,2011-09-16,판정 안 함
DIA,만기→말일,9,아래,-5.0,뒤 절반,14,15.52,1.11,64.29,3.691,21.32,42.97,2.03,-0.55,5,6.74,-1.0,-1.82,2.04,0,0,7.64,예,2012-09-21,2025-09-19,판정 안 함
DIA,만기→말일,9,아래,-5.0,최근 10년,10,10.39,1.04,50.0,4.779,17.3,32.7,2.63,-0.55,5,6.74,-1.0,-1.82,2.42,0,0,8.1,예,2016-09-16,2025-09-19,판정 안 함
DIA,만기→말일,9,아래,-5.0,최근 5년,5,11.32,2.26,60.0,10.349,8.81,51.19,4.03,-0.39,2,6.74,-0.61,-1.41,2.96,0,0,8.4,아니오,2021-09-17,2025-09-19,판정 안 함
DIA,만기→말일,9,아래,무손절,전체,28,34.1,1.22,67.86,1.724,36.71,31.15,2.47,-1.43,9,6.74,-6.7,-7.17,2.65,0,0,7.86,예,1998-09-18,2025-09-19,후보
DIA,만기→말일,9,아래,무손절,앞 절반,14,18.58,1.33,71.43,1.131,46.92,24.51,2.87,-2.54,4,5.16,-6.7,-7.17,3.23,0,0,8.07,예,1998-09-18,2011-09-16,판정 안 함
DIA,만기→말일,9,아래,무손절,뒤 절반,14,15.52,1.11,64.29,3.691,21.32,42.97,2.03,-0.55,5,6.74,-1.0,-1.82,2.04,0,0,7.64,예,2012-09-21,2025-09-19,판정 안 함
DIA,만기→말일,9,아래,무손절,최근 10년,10,10.39,1.04,50.0,4.779,17.3,32.7,2.63,-0.55,5,6.74,-1.0,-1.82,2.42,0,0,8.1,예,2016-09-16,2025-09-19,판정 안 함
DIA,만기→말일,9,아래,무손절,최근 5년,5,11.32,2.26,60.0,10.349,8.81,51.19,4.03,-0.39,2,6.74,-0.61,-1.41,2.96,0,0,8.4,아니오,2021-09-17,2025-09-19,판정 안 함
DIA,만기→말일,12,위,-5.0,전체,28,25.12,0.9,71.43,1.703,37.0,34.43,1.64,-0.96,8,4.07,-2.16,-3.36,1.58,0,0,7.57,예,1998-12-18,2025-12-19,제외
DIA,만기→말일,12,위,-5.0,앞 절반,14,12.56,0.9,71.43,1.294,43.6,27.83,1.82,-1.41,4,3.17,-2.16,-3.36,1.79,0,0,7.79,예,1998-12-18,2011-12-16,판정 안 함
DIA,만기→말일,12,위,-5.0,뒤 절반,14,12.56,0.9,71.43,2.802,26.3,45.13,1.46,-0.52,4,4.07,-0.92,-3.18,1.4,0,0,7.36,예,2012-12-21,2025-12-19,판정 안 함
DIA,만기→말일,12,위,-5.0,최근 10년,10,9.46,0.95,70.0,3.885,20.47,49.53,1.52,-0.39,3,4.07,-0.71,-3.18,1.47,0,0,7.7,예,2016-12-16,2025-12-19,판정 안 함
DIA,만기→말일,12,위,-5.0,최근 5년,5,3.77,0.75,60.0,3.691,21.32,38.68,1.53,-0.41,2,2.74,-0.71,-2.0,1.32,0,0,8.0,아니오,2021-12-17,2025-12-19,판정 안 함
DIA,만기→말일,12,위,무손절,전체,28,25.12,0.9,71.43,1.703,37.0,34.43,1.64,-0.96,8,4.07,-2.16,-3.36,1.58,0,0,7.57,예,1998-12-18,2025-12-19,제외
DIA,만기→말일,12,위,무손절,앞 절반,14,12.56,0.9,71.43,1.294,43.6,27.83,1.82,-1.41,4,3.17,-2.16,-3.36,1.79,0,0,7.79,예,1998-12-18,2011-12-16,판정 안 함
DIA,만기→말일,12,위,무손절,뒤 절반,14,12.56,0.9,71.43,2.802,26.3,45.13,1.46,-0.52,4,4.07,-0.92,-3.18,1.4,0,0,7.36,예,2012-12-21,2025-12-19,판정 안 함
DIA,만기→말일,12,위,무손절,최근 10년,10,9.46,0.95,70.0,3.885,20.47,49.53,1.52,-0.39,3,4.07,-0.71,-3.18,1.47,0,0,7.7,예,2016-12-16,2025-12-19,판정 안 함
DIA,만기→말일,12,위,무손절,최근 5년,5,3.77,0.75,60.0,3.691,21.32,38.68,1.53,-0.41,2,2.74,-0.71,-2.0,1.32,0,0,8.0,아니오,2021-12-17,2025-12-19,판정 안 함
DIA,만기→말일,12,아래,-5.0,전체,28,-29.04,-1.04,28.57,0.525,65.59,-37.02,0.96,-1.84,20,2.16,-5.0,-5.0,1.84,0,2,7.46,예,1998-12-18,2025-12-19,제외
DIA,만기→말일,12,아래,-5.0,앞 절반,14,-16.49,-1.18,28.57,0.636,61.13,-32.56,1.41,-2.21,10,2.16,-5.0,-5.0,2.24,0,2,7.57,예,1998-12-18,2011-12-16,판정 안 함
DIA,만기→말일,12,아래,-5.0,뒤 절반,14,-12.56,-0.9,28.57,0.357,73.7,-45.13,0.52,-1.46,10,0.92,-4.07,-4.34,1.4,0,0,7.36,예,2012-12-21,2025-12-19,판정 안 함
DIA,만기→말일,12,아래,-5.0,최근 10년,10,-9.46,-0.95,30.0,0.257,79.53,-49.53,0.39,-1.52,7,0.71,-4.07,-4.34,1.47,0,0,7.7,예,2016-12-16,2025-12-19,판정 안 함
DIA,만기→말일,12,아래,-5.0,최근 5년,5,-3.77,-0.75,40.0,0.271,78.68,-38.68,0.41,-1.53,3,0.71,-2.74,-3.7,1.32,0,0,8.0,아니오,2021-12-17,2025-12-19,판정 안 함
DIA,만기→말일,12,아래,무손절,전체,28,-25.12,-0.9,28.57,0.587,63.0,-34.43,0.96,-1.64,20,2.16,-4.07,-5.42,1.58,0,0,7.57,예,1998-12-18,2025-12-19,제외
DIA,만기→말일,12,아래,무손절,앞 절반,14,-12.56,-0.9,28.57,0.773,56.4,-27.83,1.41,-1.82,10,2.16,-3.17,-5.42,1.79,0,0,7.79,예,1998-12-18,2011-12-16,판정 안 함
DIA,만기→말일,12,아래,무손절,뒤 절반,14,-12.56,-0.9,28.57,0.357,73.7,-45.13,0.52,-1.46,10,0.92,-4.07,-4.34,1.4,0,0,7.36,예,2012-12-21,2025-12-19,판정 안 함
DIA,만기→말일,12,아래,무손절,최근 10년,10,-9.46,-0.95,30.0,0.257,79.53,-49.53,0.39,-1.52,7,0.71,-4.07,-4.34,1.47,0,0,7.7,예,2016-12-16,2025-12-19,판정 안 함
DIA,만기→말일,12,아래,무손절,최근 5년,5,-3.77,-0.75,40.0,0.271,78.68,-38.68,0.41,-1.53,3,0.71,-2.74,-3.7,1.32,0,0,8.0,아니오,2021-12-17,2025-12-19,판정 안 함
DIA,20일→다음주금,9,위,-5.0,전체,28,-26.11,-0.93,35.71,0.602,62.44,-26.73,1.31,-2.18,18,5.62,-5.22,-5.22,2.45,2,2,5.82,예,1998-09-18,2025-09-19,제외
