종목,조합,월,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정
SPY,만기→다음주금,12,위,-5.0,앞 절반,16,3.93,0.25,56.25,1.169,46.11,10.14,1.3,-1.12,7,3.53,-2.9,-4.15,1.58,0,0,4.31,예,1993-12-17,2008-12-19,판정 안 함
SPY,만기→다음주금,12,위,-5.0,뒤 절반,17,19.6,1.15,82.35,2.238,30.89,51.46,1.55,-0.69,3,3.95,-1.93,-2.88,1.38,0,0,4.29,예,2009-12-18,2025-12-19,판정 안 함
SPY,만기→다음주금,12,위,-5.0,최근 10년,10,9.46,0.95,80.0,16.822,5.61,74.39,1.2,-0.07,2,2.93,-0.09,-2.88,1.0,0,0,4.4,예,2016-12-16,2025-12-19,판정 안 함
SPY,만기→다음주금,12,위,-5.0,최근 5년,5,5.24,1.05,80.0,14.199,6.58,73.42,1.33,-0.09,1,2.33,-0.09,-2.22,0.9,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
SPY,만기→다음주금,12,위,무손절,전체,33,23.53,0.71,69.7,1.469,40.5,29.2,1.45,-0.99,10,3.95,-2.9,-4.15,1.53,0,0,4.3,예,1993-12-17,2025-12-19,제외
SPY,만기→다음주금,12,위,무손절,앞 절반,16,3.93,0.25,56.25,1.169,46.11,10.14,1.3,-1.12,7,3.53,-2.9,-4.15,1.58,0,0,4.31,예,1993-12-17,2008-12-19,판정 안 함
SPY,만기→다음주금,12,위,무손절,뒤 절반,17,19.6,1.15,82.35,2.238,30.89,51.46,1.55,-0.69,3,3.95,-1.93,-2.88,1.38,0,0,4.29,예,2009-12-18,2025-12-19,판정 안 함
SPY,만기→다음주금,12,위,무손절,최근 10년,10,9.46,0.95,80.0,16.822,5.61,74.39,1.2,-0.07,2,2.93,-0.09,-2.88,1.0,0,0,4.4,예,2016-12-16,2025-12-19,판정 안 함
SPY,만기→다음주금,12,위,무손절,최근 5년,5,5.24,1.05,80.0,14.199,6.58,73.42,1.33,-0.09,1,2.33,-0.09,-2.22,0.9,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
SPY,만기→다음주금,12,아래,-5.0,전체,33,-23.53,-0.71,30.3,0.681,59.5,-29.2,0.99,-1.45,23,2.9,-3.95,-4.45,1.53,0,0,4.3,예,1993-12-17,2025-12-19,제외
SPY,만기→다음주금,12,아래,-5.0,앞 절반,16,-3.93,-0.25,43.75,0.856,53.89,-10.14,1.12,-1.3,9,2.9,-3.53,-4.01,1.58,0,0,4.31,예,1993-12-17,2008-12-19,판정 안 함
SPY,만기→다음주금,12,아래,-5.0,뒤 절반,17,-19.6,-1.15,17.65,0.447,69.11,-51.46,0.69,-1.55,14,1.93,-3.95,-4.45,1.38,0,0,4.29,예,2009-12-18,2025-12-19,판정 안 함
SPY,만기→다음주금,12,아래,-5.0,최근 10년,10,-9.46,-0.95,20.0,0.059,94.39,-74.39,0.07,-1.2,8,0.09,-2.93,-4.45,1.0,0,0,4.4,예,2016-12-16,2025-12-19,판정 안 함
SPY,만기→다음주금,12,아래,-5.0,최근 5년,5,-5.24,-1.05,20.0,0.07,93.42,-73.42,0.09,-1.33,4,0.09,-2.33,-2.68,0.9,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
SPY,만기→다음주금,12,아래,무손절,전체,33,-23.53,-0.71,30.3,0.681,59.5,-29.2,0.99,-1.45,23,2.9,-3.95,-4.45,1.53,0,0,4.3,예,1993-12-17,2025-12-19,제외
SPY,만기→다음주금,12,아래,무손절,앞 절반,16,-3.93,-0.25,43.75,0.856,53.89,-10.14,1.12,-1.3,9,2.9,-3.53,-4.01,1.58,0,0,4.31,예,1993-12-17,2008-12-19,판정 안 함
SPY,만기→다음주금,12,아래,무손절,뒤 절반,17,-19.6,-1.15,17.65,0.447,69.11,-51.46,0.69,-1.55,14,1.93,-3.95,-4.45,1.38,0,0,4.29,예,2009-12-18,2025-12-19,판정 안 함
SPY,만기→다음주금,12,아래,무손절,최근 10년,10,-9.46,-0.95,20.0,0.059,94.39,-74.39,0.07,-1.2,8,0.09,-2.93,-4.45,1.0,0,0,4.4,예,2016-12-16,2025-12-19,판정 안 함
SPY,만기→다음주금,12,아래,무손절,최근 5년,5,-5.24,-1.05,20.0,0.07,93.42,-73.42,0.09,-1.33,4,0.09,-2.33,-2.68,0.9,0,0,4.4,아니오,2021-12-17,2025-12-19,판정 안 함
SPY,만기→말일,9,위,-5.0,전체,33,-33.92,-1.03,33.33,0.631,61.33,-28.0,1.42,-2.25,22,7.36,-6.81,-6.81,2.58,1,3,7.36,예,1993-09-17,2025-09-19,제외
SPY,만기→말일,9,위,-5.0,앞 절반,16,-13.35,-0.83,31.25,0.906,52.48,-21.23,1.87,-2.06,11,7.36,-5.0,-5.0,2.89,0,2,7.5,예,1993-09-17,2008-09-19,판정 안 함
SPY,만기→말일,9,위,-5.0,뒤 절반,17,-20.57,-1.21,35.29,0.429,70.0,-34.71,1.05,-2.44,11,1.46,-6.81,-6.81,2.34,1,1,7.24,예,2009-09-18,2025-09-19,판정 안 함
SPY,만기→말일,9,위,-5.0,최근 10년,10,-7.49,-0.75,50.0,0.392,71.86,-21.86,0.96,-2.46,5,1.37,-5.0,-5.0,2.25,0,1,7.6,예,2016-09-16,2025-09-19,판정 안 함
SPY,만기→말일,9,위,-5.0,최근 5년,5,-10.02,-2.0,40.0,0.177,84.94,-44.94,0.67,-3.79,3,0.97,-5.0,-5.0,2.58,0,1,7.4,아니오,2021-09-17,2025-09-19,판정 안 함
SPY,만기→말일,9,위,무손절,전체,33,-36.65,-1.11,33.33,0.598,62.6,-29.27,1.42,-2.38,22,7.36,-7.36,-10.95,2.77,0,0,7.94,예,1993-09-17,2025-09-19,제외
SPY,만기→말일,9,위,무손절,앞 절반,16,-13.64,-0.85,31.25,0.894,52.79,-21.54,1.87,-2.09,11,7.36,-6.55,-10.95,2.96,0,0,8.0,예,1993-09-17,2008-09-19,판정 안 함
SPY,만기→말일,9,위,무손절,뒤 절반,17,-23.01,-1.35,35.29,0.393,71.8,-36.51,1.05,-2.66,11,1.46,-7.36,-8.41,2.64,0,0,7.88,예,2009-09-18,2025-09-19,판정 안 함
SPY,만기→말일,9,위,무손절,최근 10년,10,-9.85,-0.98,50.0,0.329,75.27,-25.27,0.96,-2.93,5,1.37,-7.36,-7.4,2.8,0,0,8.1,예,2016-09-16,2025-09-19,판정 안 함
SPY,만기→말일,9,위,무손절,최근 5년,5,-12.38,-2.48,40.0,0.147,87.2,-47.2,0.67,-4.57,3,0.97,-7.36,-7.4,3.36,0,0,8.4,아니오,2021-09-17,2025-09-19,판정 안 함
SPY,만기→말일,9,아래,-5.0,전체,33,38.8,1.18,66.67,1.94,34.01,32.66,2.38,-1.22,11,7.36,-5.21,-5.21,2.58,1,0,7.88,예,1993-09-17,2025-09-19,후보
SPY,만기→말일,9,아래,-5.0,앞 절반,16,15.79,0.99,68.75,1.452,40.78,27.97,2.09,-1.44,5,6.55,-5.21,-5.21,2.59,1,0,7.88,예,1993-09-17,2008-09-19,판정 안 함
SPY,만기→말일,9,아래,-5.0,뒤 절반,17,23.01,1.35,64.71,2.546,28.2,36.51,2.66,-1.05,6,7.36,-1.46,-2.93,2.64,0,0,7.88,예,2009-09-18,2025-09-19,판정 안 함
SPY,만기→말일,9,아래,-5.0,최근 10년,10,9.85,0.98,50.0,3.044,24.73,25.27,2.93,-0.96,5,7.36,-1.37,-2.31,2.8,0,0,8.1,예,2016-09-16,2025-09-19,판정 안 함
SPY,만기→말일,9,아래,-5.0,최근 5년,5,12.38,2.48,60.0,6.81,12.8,47.2,4.57,-0.67,2,7.36,-0.97,-1.14,3.36,0,0,8.4,아니오,2021-09-17,2025-09-19,판정 안 함
SPY,만기→말일,9,아래,무손절,전체,33,36.65,1.11,66.67,1.673,37.4,29.27,2.38,-1.42,11,7.36,-7.36,-12.69,2.77,0,0,7.94,예,1993-09-17,2025-09-19,후보
SPY,만기→말일,9,아래,무손절,앞 절반,16,13.64,0.85,68.75,1.118,47.21,21.54,2.09,-1.87,5,6.55,-7.36,-12.69,2.96,0,0,8.0,예,1993-09-17,2008-09-19,판정 안 함
SPY,만기→말일,9,아래,무손절,뒤 절반,17,23.01,1.35,64.71,2.546,28.2,36.51,2.66,-1.05,6,7.36,-1.46,-2.93,2.64,0,0,7.88,예,2009-09-18,2025-09-19,판정 안 함
SPY,만기→말일,9,아래,무손절,최근 10년,10,9.85,0.98,50.0,3.044,24.73,25.27,2.93,-0.96,5,7.36,-1.37,-2.31,2.8,0,0,8.1,예,2016-09-16,2025-09-19,판정 안 함
SPY,만기→말일,9,아래,무손절,최근 5년,5,12.38,2.48,60.0,6.81,12.8,47.2,4.57,-0.67,2,7.36,-0.97,-1.14,3.36,0,0,8.4,아니오,2021-09-17,2025-09-19,판정 안 함
SPY,만기→말일,12,위,-5.0,전체,33,24.28,0.74,60.61,2.145,31.79,28.82,1.74,-0.81,13,4.06,-1.96,-4.15,1.63,0,0,7.64,예,1993-12-17,2025-12-19,제외
SPY,만기→말일,12,위,-5.0,앞 절반,16,7.28,0.46,50.0,1.903,34.45,15.55,1.92,-1.01,8,4.06,-1.96,-4.15,1.82,0,0,7.69,예,1993-12-17,2008-12-19,판정 안 함
SPY,만기→말일,12,위,-5.0,뒤 절반,17,17.0,1.0,70.59,3.263,23.46,47.13,1.62,-0.5,5,3.83,-0.86,-2.88,1.44,0,0,7.59,예,2009-12-18,2025-12-19,판정 안 함
SPY,만기→말일,12,위,-5.0,최근 10년,10,8.59,0.86,70.0,2.535,28.29,41.71,1.48,-0.58,3,3.83,-0.86,-2.88,1.59,0,0,7.7,예,2016-12-16,2025-12-19,판정 안 함
SPY,만기→말일,12,위,-5.0,최근 5년,5,3.67,0.73,60.0,2.941,25.37,34.63,1.58,-0.54,2,3.28,-0.86,-2.22,1.62,0,0,8.0,아니오,2021-12-17,2025-12-19,판정 안 함
SPY,만기→말일,12,위,무손절,전체,33,24.28,0.74,60.61,2.145,31.79,28.82,1.74,-0.81,13,4.06,-1.96,-4.15,1.63,0,0,7.64,예,1993-12-17,2025-12-19,제외
SPY,만기→말일,12,위,무손절,앞 절반,16,7.28,0.46,50.0,1.903,34.45,15.55,1.92,-1.01,8,4.06,-1.96,-4.15,1.82,0,0,7.69,예,1993-12-17,2008-12-19,판정 안 함
SPY,만기→말일,12,위,무손절,뒤 절반,17,17.0,1.0,70.59,3.263,23.46,47.13,1.62,-0.5,5,3.83,-0.86,-2.88,1.44,0,0,7.59,예,2009-12-18,2025-12-19,판정 안 함
SPY,만기→말일,12,위,무손절,최근 10년,10,8.59,0.86,70.0,2.535,28.29,41.71,1.48,-0.58,3,3.83,-0.86,-2.88,1.59,0,0,7.7,예,2016-12-16,2025-12-19,판정 안 함
SPY,만기→말일,12,위,무손절,최근 5년,5,3.67,0.73,60.0,2.941,25.37,34.63,1.58,-0.54,2,3.28,-0.86,-2.22,1.62,0,0,8.0,아니오,2021-12-17,2025-12-19,판정 안 함
SPY,만기→말일,12,아래,-5.0,전체,33,-25.22,-0.76,39.39,0.454,68.78,-29.39,0.81,-1.79,20,1.96,-5.0,-5.0,1.7,0,1,7.58,예,1993-12-17,2025-12-19,제외
SPY,만기→말일,12,아래,-5.0,앞 절반,16,-8.22,-0.51,50.0,0.495,66.88,-16.88,1.01,-2.04,8,1.96,-5.0,-5.0,1.95,0,1,7.56,예,1993-12-17,2008-12-19,판정 안 함
SPY,만기→말일,12,아래,-5.0,뒤 절반,17,-17.0,-1.0,29.41,0.307,76.54,-47.13,0.5,-1.62,12,0.86,-3.83,-4.45,1.44,0,0,7.59,예,2009-12-18,2025-12-19,판정 안 함
SPY,만기→말일,12,아래,-5.0,최근 10년,10,-8.59,-0.86,30.0,0.394,71.71,-41.71,0.58,-1.48,7,0.86,-3.83,-4.45,1.59,0,0,7.7,예,2016-12-16,2025-12-19,판정 안 함
