종목,조합,월,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능,다른 조합과 같은 해,이 조합만 다른 해,배당락 대조 건수,배당락 걸린 건수,배당락 평균 왜곡(%p)
DIA,만기→말일,9,28,0,28,-1.22,-1.03,32.14,67.86,6.7,-6.74,2.65,1.43,2.47,9,19,119,12,107,-1.03,-0.67,42.99,57.01,6.7,-10.85,3.08,1.51,2.94,46,61,-0.19,-0.35,-10.85,10.85,0.7273,0.4645,0.1908,0.1908,,False,예,16,12,28,0,-0.0
DIA,만기→말일,12,28,0,28,0.9,0.81,71.43,28.57,4.07,-2.16,1.58,1.64,0.96,20,8,116,12,104,0.59,0.78,61.54,38.46,5.84,-4.84,2.05,1.85,1.42,64,40,0.3,0.03,9.89,-9.89,0.3876,0.7772,0.2527,0.2527,,False,예,12,16,28,1,-0.0077
DIA,20일→다음주금,9,28,0,28,-0.84,-0.44,35.71,64.29,5.62,-6.42,2.37,1.31,2.04,10,18,568,0,568,-0.22,0.12,52.64,47.18,6.87,-22.71,2.78,1.62,2.28,299,268,-0.62,-0.56,-16.93,17.1,0.2488,0.2458,0.0959,0.0929,,False,예,24,4,28,4,-0.0294
DIA,20일→다음주금,12,28,0,28,0.87,0.8,78.57,21.43,4.02,-3.09,1.69,1.47,1.35,22,6,591,0,591,0.22,0.43,59.05,40.78,7.42,-9.01,2.24,1.58,1.76,349,241,0.65,0.37,19.52,-19.35,0.1259,0.3347,0.042,0.043,,False,예,24,4,28,5,-0.0446
DIA,20일→말일,9,28,0,28,-1.07,-0.68,32.14,67.86,5.62,-6.42,2.39,1.17,2.13,9,19,568,28,540,-0.99,-0.44,41.67,58.33,6.7,-12.14,3.04,1.5,2.77,225,315,-0.08,-0.23,-9.52,9.52,0.9201,0.7602,0.3556,0.3556,,False,예,24,4,28,4,-0.0293
DIA,20일→말일,12,28,0,28,0.89,0.87,67.86,32.14,4.02,-2.16,1.6,1.69,0.81,19,9,591,28,563,0.43,0.29,57.37,42.45,7.18,-9.87,2.18,1.81,1.45,323,239,0.46,0.58,10.49,-10.31,0.2597,0.1908,0.3347,0.3367,,False,예,24,4,28,5,-0.0447
KODEX 200,만기→다음주금,9,23,0,23,-1.2,-0.36,34.78,65.22,2.96,-7.77,2.68,1.27,2.52,8,15,93,1,92,0.25,0.31,57.61,42.39,6.69,-7.77,2.61,1.98,2.1,53,39,-1.45,-0.66,-22.83,22.83,0.003,0.1299,0.02,0.02,,False,예,13,10,12,0,-0.0004
KODEX 200,만기→다음주금,12,24,0,24,0.45,1.05,75.0,25.0,3.48,-6.41,2.35,1.53,2.78,18,6,93,0,93,0.58,0.78,63.44,36.56,7.82,-6.41,2.5,2.04,1.94,59,34,-0.13,0.27,11.56,-11.56,0.7493,0.4206,0.2088,0.2088,,False,예,14,10,12,2,-0.0031
KODEX 200,만기→말일,9,23,0,23,-1.03,-0.3,43.48,56.52,3.33,-8.44,2.86,1.3,2.82,10,13,93,9,84,0.28,0.46,57.14,42.86,9.57,-9.74,3.41,2.51,2.68,48,36,-1.31,-0.76,-13.66,13.66,0.022,0.2807,0.1309,0.1309,,False,예,14,9,12,1,0.0023
KODEX 200,만기→말일,12,24,0,24,1.3,1.18,79.17,16.67,6.61,-10.06,3.65,2.58,4.44,19,4,93,3,90,1.53,1.45,73.33,25.56,10.04,-10.65,3.89,3.2,3.22,66,23,-0.23,-0.27,5.83,-8.89,0.7393,0.7313,0.6194,0.3027,,False,예,14,10,12,2,-0.0017
