대상,격자 칸,진입 달력일,청산 상대 거래일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 200,24일 → 말일,24,0,287,0,287,0.49,0.37,57.84,41.11,23.77,-9.76,3.12,2.28,2.0,166,118,5607,0,5607,0.6,0.47,57.52,41.97,29.46,-19.26,4.13,3.01,2.71,3225,2353,-0.1,-0.11,0.32,-0.85,0.6543,0.5185,0.962,0.8242,,False,예
KODEX 200,24일 → 말일+1,24,1,287,0,287,0.59,0.44,59.93,40.07,22.7,-9.35,3.26,2.45,2.18,172,115,5894,0,5894,0.68,0.61,58.59,41.11,34.67,-26.33,4.32,3.16,2.85,3453,2423,-0.09,-0.16,1.35,-1.04,0.7642,0.4326,0.6464,0.7253,,False,예
KODEX 200,24일 → 말일+2,24,2,287,0,287,0.67,0.54,57.14,42.51,25.25,-14.8,3.78,2.94,2.36,164,122,5894,0,5894,0.76,0.59,57.99,41.69,44.87,-25.42,4.7,3.45,2.96,3418,2457,-0.09,-0.06,-0.85,0.82,0.7822,0.7323,0.7632,0.8082,,False,예
KODEX 200,24일 → 말일+3,24,3,287,0,287,0.75,0.55,56.79,43.21,27.96,-12.76,4.03,3.14,2.4,163,124,5894,0,5894,0.83,0.58,56.14,43.47,47.87,-22.47,4.89,3.78,2.98,3309,2562,-0.08,-0.02,0.65,-0.26,0.7862,0.9361,0.8701,0.957,,False,예
KODEX 200,25일 → 말일-3,25,-3,181,0,181,0.22,0.23,60.22,39.23,10.2,-10.05,1.68,1.07,1.08,109,71,4746,0,4746,0.39,0.45,57.5,42.01,28.2,-28.88,4.12,2.72,2.8,2729,1994,-0.17,-0.22,2.72,-2.79,0.5654,0.3147,0.5035,0.4446,,False,예
KODEX 200,25일 → 말일-2,25,-2,266,0,266,0.21,0.19,58.65,40.6,6.36,-15.76,2.0,1.29,1.33,156,108,5033,0,5033,0.41,0.45,58.0,41.74,28.79,-33.39,4.22,2.75,2.85,2919,2101,-0.19,-0.26,0.65,-1.14,0.4715,0.1329,0.8462,0.7003,,False,예
KODEX 200,25일 → 말일-1,25,-1,279,0,279,0.25,0.14,52.33,47.31,21.88,-17.61,2.79,1.91,1.58,146,132,5320,0,5320,0.43,0.42,56.5,43.08,30.71,-34.86,4.23,2.89,2.78,3006,2292,-0.18,-0.28,-4.17,4.23,0.4126,0.1119,0.1199,0.1239,,False,예
KODEX 200,25일 → 말일,25,0,287,0,287,0.42,0.28,56.79,41.81,23.77,-10.74,3.01,2.15,1.92,163,120,5607,0,5607,0.6,0.47,57.52,41.97,29.46,-19.26,4.13,3.01,2.71,3225,2353,-0.18,-0.2,-0.72,-0.15,0.4366,0.2707,0.8182,1.0,,False,예
KODEX 200,25일 → 말일+1,25,1,287,0,287,0.52,0.45,58.19,41.11,22.7,-9.35,3.23,2.39,2.12,167,118,5894,0,5894,0.68,0.61,58.59,41.11,34.67,-26.33,4.32,3.16,2.85,3453,2423,-0.16,-0.15,-0.4,0.01,0.5574,0.4575,0.9421,1.0,,False,예
KODEX 200,25일 → 말일+2,25,2,287,0,287,0.6,0.52,57.14,42.16,25.25,-16.49,3.78,2.79,2.36,164,121,5894,0,5894,0.76,0.59,57.99,41.69,44.87,-25.42,4.7,3.45,2.96,3418,2457,-0.16,-0.07,-0.85,0.47,0.5674,0.6304,0.7632,0.8961,,False,예
KODEX 200,25일 → 말일+3,25,3,287,0,287,0.67,0.4,55.75,42.86,27.96,-11.94,3.99,3.05,2.41,160,123,5894,0,5894,0.83,0.58,56.14,43.47,47.87,-22.47,4.89,3.78,2.98,3309,2562,-0.16,-0.17,-0.39,-0.61,0.5714,0.4995,0.9101,0.8661,,False,예
KODEX 인버스,15일 → 말일-3,15,-3,203,0,203,-0.27,-0.27,43.35,54.68,19.38,-9.03,3.13,2.18,2.22,88,111,3359,0,3359,-0.38,-0.41,41.38,56.71,33.55,-22.93,3.79,2.52,2.51,1390,1905,0.11,0.14,1.97,-2.03,0.6713,0.5075,0.6104,0.5714,,False,예
KODEX 인버스,15일 → 말일-2,15,-2,203,0,203,-0.3,-0.61,39.9,60.1,26.71,-11.45,3.56,2.58,2.21,81,122,3563,0,3563,-0.39,-0.39,41.62,57.14,41.75,-23.16,3.99,2.58,2.56,1483,2036,0.09,-0.22,-1.72,2.96,0.7003,0.2587,0.6713,0.4376,,False,예
KODEX 인버스,15일 → 말일-1,15,-1,203,0,203,-0.39,-0.47,40.89,57.64,29.51,-14.06,3.83,2.55,2.48,83,117,3767,0,3767,-0.45,-0.44,41.33,57.05,44.88,-24.73,4.14,2.61,2.68,1557,2149,0.07,-0.03,-0.45,0.59,0.8252,0.9141,0.8991,0.9261,,False,예
KODEX 인버스,15일 → 말일,15,0,203,0,203,-0.4,-0.51,41.38,57.64,12.77,-14.45,3.48,2.54,2.52,84,117,3971,0,3971,-0.45,-0.32,44.02,54.77,17.87,-24.02,3.78,2.43,2.77,1748,2175,0.05,-0.18,-2.64,2.86,0.9051,0.3506,0.4436,0.3966,,False,예
KODEX 인버스,15일 → 말일+1,15,1,203,0,203,-0.52,-0.68,38.92,59.11,11.55,-18.68,3.72,2.77,2.7,79,120,4175,0,4175,-0.54,-0.44,42.4,56.26,23.62,-27.78,3.88,2.51,2.85,1770,2349,0.03,-0.23,-3.48,2.85,0.9471,0.2937,0.3297,0.4575,,False,예
KODEX 인버스,15일 → 말일+2,15,2,203,0,203,-0.56,-0.37,44.33,54.68,11.15,-19.16,4.06,2.61,3.14,90,111,4175,0,4175,-0.6,-0.43,43.04,55.93,22.45,-32.48,4.24,2.64,3.1,1797,2335,0.03,0.07,1.29,-1.25,0.9181,0.7473,0.7363,0.7353,,False,예
KODEX 인버스,15일 → 말일+3,15,3,202,0,202,-0.65,-0.35,43.07,56.93,18.16,-20.88,4.23,2.63,3.13,87,115,4155,0,4155,-0.64,-0.37,44.09,54.58,22.26,-33.91,4.46,2.71,3.36,1832,2268,-0.01,0.02,-1.02,2.35,0.992,0.8861,0.8212,0.5335,,False,예
KODEX 인버스,16일 → 말일-3,16,-3,204,0,204,-0.21,-0.31,41.67,55.39,11.73,-8.81,2.75,2.13,1.98,85,113,3359,0,3359,-0.38,-0.41,41.38,56.71,33.55,-22.93,3.79,2.52,2.51,1390,1905,0.17,0.1,0.29,-1.32,0.5185,0.6044,0.9411,0.7353,,False,예
KODEX 인버스,16일 → 말일-2,16,-2,204,0,204,-0.24,-0.48,39.22,60.29,18.59,-11.45,3.16,2.51,2.02,80,123,3563,0,3563,-0.39,-0.39,41.62,57.14,41.75,-23.16,3.99,2.58,2.56,1483,2036,0.15,-0.09,-2.41,3.15,0.5495,0.6114,0.5295,0.3966,,False,예
KODEX 인버스,16일 → 말일-1,16,-1,204,0,204,-0.33,-0.43,41.67,58.33,21.21,-14.06,3.45,2.44,2.31,85,119,3767,0,3767,-0.45,-0.44,41.33,57.05,44.88,-24.73,4.14,2.61,2.68,1557,2149,0.12,0.01,0.33,1.29,0.6623,0.955,1.0,0.7632,,False,예
KODEX 인버스,16일 → 말일,16,0,204,0,204,-0.33,-0.27,43.63,54.9,12.77,-14.45,3.39,2.44,2.55,89,112,3971,0,3971,-0.45,-0.32,44.02,54.77,17.87,-24.02,3.78,2.43,2.77,1748,2175,0.12,0.06,-0.39,0.13,0.7093,0.7722,0.8861,0.9461,,False,예
KODEX 인버스,16일 → 말일+1,16,1,204,0,204,-0.44,-0.62,42.16,56.86,11.55,-18.68,3.55,2.57,2.68,86,116,4175,0,4175,-0.54,-0.44,42.4,56.26,23.62,-27.78,3.88,2.51,2.85,1770,2349,0.1,-0.17,-0.24,0.6,0.7183,0.4915,0.952,0.9021,,False,예
KODEX 인버스,16일 → 말일+2,16,2,204,0,204,-0.47,-0.35,43.14,55.39,11.15,-18.59,3.97,2.76,3.0,88,113,4175,0,4175,-0.6,-0.43,43.04,55.93,22.45,-32.48,4.24,2.64,3.1,1797,2335,0.12,0.08,0.1,-0.54,0.6873,0.6973,1.0,0.8881,,False,예
KODEX 인버스,16일 → 말일+3,16,3,203,0,203,-0.55,-0.49,44.83,55.17,18.16,-19.16,4.19,2.72,3.21,91,112,4155,0,4155,-0.64,-0.37,44.09,54.58,22.26,-33.91,4.46,2.71,3.36,1832,2268,0.08,-0.12,0.74,0.59,0.7582,0.6533,0.8202,0.9381,,False,예
KODEX 인버스,17일 → 말일-3,17,-3,204,0,204,-0.16,-0.19,43.14,53.43,11.73,-8.81,2.67,2.03,1.93,88,109,3359,0,3359,-0.38,-0.41,41.38,56.71,33.55,-22.93,3.79,2.52,2.51,1390,1905,0.23,0.22,1.76,-3.28,0.3856,0.2438,0.6134,0.3546,,False,예
KODEX 인버스,17일 → 말일-2,17,-2,204,0,204,-0.18,-0.31,39.22,58.82,18.59,-11.45,3.09,2.45,1.94,80,120,3563,0,3563,-0.39,-0.39,41.62,57.14,41.75,-23.16,3.99,2.58,2.56,1483,2036,0.21,0.07,-2.41,1.68,0.4226,0.5644,0.5295,0.6703,,False,예
KODEX 인버스,17일 → 말일-1,17,-1,204,0,204,-0.27,-0.33,42.65,56.37,21.21,-14.06,3.36,2.32,2.24,87,115,3767,0,3767,-0.45,-0.44,41.33,57.05,44.88,-24.73,4.14,2.61,2.68,1557,2149,0.18,0.11,1.31,-0.68,0.5295,0.6044,0.8022,0.9071,,False,예
KODEX 인버스,17일 → 말일,17,0,204,0,204,-0.27,-0.27,44.61,52.45,12.77,-14.45,3.35,2.37,2.54,91,107,3971,0,3971,-0.45,-0.32,44.02,54.77,17.87,-24.02,3.78,2.43,2.77,1748,2175,0.18,0.06,0.59,-2.32,0.5435,0.7792,0.9321,0.5694,,False,예
KODEX 인버스,17일 → 말일+1,17,1,204,0,204,-0.38,-0.48,44.61,53.92,11.55,-18.68,3.49,2.43,2.72,91,110,4175,0,4175,-0.54,-0.44,42.4,56.26,23.62,-27.78,3.88,2.51,2.85,1770,2349,0.16,-0.03,2.21,-2.34,0.5874,0.8731,0.5924,0.5624,,False,예
KODEX 인버스,17일 → 말일+2,17,2,204,0,204,-0.42,-0.29,45.1,53.92,12.22,-18.59,3.95,2.66,2.99,92,110,4175,0,4175,-0.6,-0.43,43.04,55.93,22.45,-32.48,4.24,2.64,3.1,1797,2335,0.18,0.15,2.06,-2.01,0.5614,0.4785,0.5794,0.5774,,False,예
KODEX 인버스,17일 → 말일+3,17,3,203,0,203,-0.5,-0.41,45.32,53.69,17.11,-19.67,4.16,2.74,3.23,92,109,4155,0,4155,-0.64,-0.37,44.09,54.58,22.26,-33.91,4.46,2.71,3.36,1832,2268,0.14,-0.04,1.23,-0.89,0.6254,0.9131,0.7083,0.7473,,False,예
KODEX 인버스,18일 → 말일-3,18,-3,204,0,204,-0.14,-0.23,41.67,56.37,11.73,-9.21,2.66,2.04,1.77,85,115,3359,0,3359,-0.38,-0.41,41.38,56.71,33.55,-22.93,3.79,2.52,2.51,1390,1905,0.24,0.18,0.29,-0.34,0.3626,0.3686,0.9411,0.9411,,False,예
KODEX 인버스,18일 → 말일-2,18,-2,204,0,204,-0.17,-0.41,40.69,56.37,18.59,-11.25,3.18,2.43,2.05,83,115,3563,0,3563,-0.39,-0.39,41.62,57.14,41.75,-23.16,3.99,2.58,2.56,1483,2036,0.22,-0.02,-0.94,-0.77,0.3816,0.979,0.8511,0.8242,,False,예
KODEX 인버스,18일 → 말일-1,18,-1,204,0,204,-0.26,-0.44,38.73,58.82,21.21,-14.06,3.48,2.64,2.18,79,120,3767,0,3767,-0.45,-0.44,41.33,57.05,44.88,-24.73,4.14,2.61,2.68,1557,2149,0.19,-0.0,-2.61,1.78,0.4985,1.0,0.4446,0.6583,,False,예
KODEX 인버스,18일 → 말일,18,0,204,0,204,-0.26,-0.3,43.63,53.43,17.87,-13.92,3.48,2.42,2.46,89,109,3971,0,3971,-0.45,-0.32,44.02,54.77,17.87,-24.02,3.78,2.43,2.77,1748,2175,0.19,0.02,-0.39,-1.34,0.5085,0.9351,0.8861,0.7712,,False,예
KODEX 인버스,18일 → 말일+1,18,1,204,0,204,-0.37,-0.46,43.63,55.88,9.59,-18.17,3.52,2.51,2.63,89,114,4175,0,4175,-0.54,-0.44,42.4,56.26,23.62,-27.78,3.88,2.51,2.85,1770,2349,0.17,-0.01,1.23,-0.38,0.5604,0.9381,0.8042,0.957,,False,예
KODEX 인버스,18일 → 말일+2,18,2,204,0,204,-0.4,-0.27,45.1,53.92,16.26,-18.09,4.06,2.66,2.97,92,110,4175,0,4175,-0.6,-0.43,43.04,55.93,22.45,-32.48,4.24,2.64,3.1,1797,2335,0.19,0.17,2.06,-2.01,0.5275,0.4336,0.5794,0.5774,,False,예
KODEX 인버스,18일 → 말일+3,18,3,203,0,203,-0.48,-0.14,45.81,52.71,16.37,-19.67,4.18,2.71,3.26,93,107,4155,0,4155,-0.64,-0.37,44.09,54.58,22.26,-33.91,4.46,2.71,3.36,1832,2268,0.16,0.22,1.72,-1.88,0.5834,0.3616,0.6004,0.5315,,False,예
KODEX 인버스,19일 → 말일-3,19,-3,204,0,204,-0.21,-0.17,43.14,54.41,11.73,-15.2,2.68,1.84,1.84,88,111,3359,0,3359,-0.38,-0.41,41.38,56.71,33.55,-22.93,3.79,2.52,2.51,1390,1905,0.17,0.24,1.76,-2.3,0.5045,0.2208,0.6134,0.5215,,False,예
KODEX 인버스,19일 → 말일-2,19,-2,204,0,204,-0.23,-0.25,41.18,55.88,18.59,-17.1,3.24,2.29,2.1,84,114,3563,0,3563,-0.39,-0.39,41.62,57.14,41.75,-23.16,3.99,2.58,2.56,1483,2036,0.16,0.13,-0.45,-1.26,0.5185,0.3936,0.9461,0.7273,,False,예
KODEX 인버스,19일 → 말일-1,19,-1,204,0,204,-0.32,-0.37,41.67,55.88,21.21,-16.83,3.5,2.37,2.34,85,114,3767,0,3767,-0.45,-0.44,41.33,57.05,44.88,-24.73,4.14,2.61,2.68,1557,2149,0.13,0.07,0.33,-1.17,0.6424,0.7562,1.0,0.8122,,False,예
KODEX 인버스,19일 → 말일,19,0,204,0,204,-0.32,-0.29,45.1,53.43,14.34,-18.3,3.57,2.35,2.59,92,109,3971,0,3971,-0.45,-0.32,44.02,54.77,17.87,-24.02,3.78,2.43,2.77,1748,2175,0.13,0.03,1.08,-1.34,0.6593,0.8811,0.8242,0.7712,,False,예
KODEX 인버스,19일 → 말일+1,19,1,204,0,204,-0.43,-0.25,45.1,53.92,9.77,-20.57,3.63,2.39,2.8,92,110,4175,0,4175,-0.54,-0.44,42.4,56.26,23.62,-27.78,3.88,2.51,2.85,1770,2349,0.11,0.2,2.7,-2.34,0.6993,0.4905,0.4965,0.5624,,False,예
KODEX 인버스,19일 → 말일+2,19,2,204,0,204,-0.46,-0.24,46.08,53.43,16.53,-20.48,4.16,2.56,3.07,94,109,4175,0,4175,-0.6,-0.43,43.04,55.93,22.45,-32.48,4.24,2.64,3.1,1797,2335,0.14,0.2,3.04,-2.5,0.6553,0.3477,0.4216,0.4965,,False,예
KODEX 인버스,19일 → 말일+3,19,3,203,0,203,-0.51,-0.09,47.29,51.23,14.93,-19.67,4.22,2.6,3.4,96,104,4155,0,4155,-0.64,-0.37,44.09,54.58,22.26,-33.91,4.46,2.71,3.36,1832,2268,0.13,0.27,3.2,-3.35,0.6603,0.2587,0.3157,0.2927,,False,예
KODEX 인버스,20일 → 말일-3,20,-3,203,0,203,-0.17,-0.13,45.32,52.71,6.91,-11.61,2.33,1.65,1.73,92,107,3359,0,3359,-0.38,-0.41,41.38,56.71,33.55,-22.93,3.79,2.52,2.51,1390,1905,0.22,0.28,3.94,-4.0,0.4106,0.1439,0.2687,0.2527,,False,예
KODEX 인버스,20일 → 말일-2,20,-2,204,0,204,-0.19,-0.29,42.16,55.88,13.47,-14.18,2.87,2.14,1.95,86,114,3563,0,3563,-0.39,-0.39,41.62,57.14,41.75,-23.16,3.99,2.58,2.56,1483,2036,0.2,0.1,0.53,-1.26,0.4316,0.4835,0.9001,0.7273,,False,예
KODEX 인버스,20일 → 말일-1,20,-1,204,0,204,-0.28,-0.41,41.18,56.86,15.98,-13.66,3.18,2.33,2.18,84,116,3767,0,3767,-0.45,-0.44,41.33,57.05,44.88,-24.73,4.14,2.61,2.68,1557,2149,0.17,0.03,-0.16,-0.19,0.5475,0.8921,0.9421,1.0,,False,예
KODEX 인버스,20일 → 말일,20,0,204,0,204,-0.27,-0.32,45.59,53.43,14.13,-17.08,3.4,2.29,2.46,93,109,3971,0,3971,-0.45,-0.32,44.02,54.77,17.87,-24.02,3.78,2.43,2.77,1748,2175,0.18,0.01,1.57,-1.34,0.5405,0.999,0.7173,0.7712,,False,예
KODEX 인버스,20일 → 말일+1,20,1,204,0,204,-0.39,-0.41,44.61,54.41,9.33,-21.18,3.45,2.33,2.62,91,111,4175,0,4175,-0.54,-0.44,42.4,56.26,23.62,-27.78,3.88,2.51,2.85,1770,2349,0.16,0.04,2.21,-1.85,0.5904,0.9381,0.5924,0.6454,,False,예
KODEX 인버스,20일 → 말일+2,20,2,204,0,204,-0.41,-0.36,44.12,54.41,16.53,-21.09,4.1,2.72,2.96,90,111,4175,0,4175,-0.6,-0.43,43.04,55.93,22.45,-32.48,4.24,2.64,3.1,1797,2335,0.18,0.07,1.08,-1.52,0.5514,0.7233,0.7902,0.6813,,False,예
KODEX 인버스,20일 → 말일+3,20,3,203,0,203,-0.49,-0.14,48.28,50.74,14.93,-19.64,4.15,2.51,3.36,98,103,4155,0,4155,-0.64,-0.37,44.09,54.58,22.26,-33.91,4.46,2.71,3.36,1832,2268,0.14,0.22,4.18,-3.85,0.6224,0.3616,0.1978,0.2418,,False,예
KODEX 인버스,21일 → 말일-3,21,-3,203,0,203,-0.1,-0.25,40.39,56.16,11.33,-8.03,2.05,1.69,1.39,82,114,3359,0,3359,-0.38,-0.41,41.38,56.71,33.55,-22.93,3.79,2.52,2.51,1390,1905,0.29,0.16,-0.99,-0.56,0.2557,0.4426,0.7752,0.8831,,False,예
KODEX 인버스,21일 → 말일-2,21,-2,203,0,203,-0.12,-0.27,41.38,58.13,18.17,-10.1,2.69,2.06,1.67,84,118,3563,0,3563,-0.39,-0.39,41.62,57.14,41.75,-23.16,3.99,2.58,2.56,1483,2036,0.27,0.12,-0.24,0.99,0.2787,0.4426,1.0,0.8192,,False,예
KODEX 인버스,21일 → 말일-1,21,-1,204,0,204,-0.21,-0.45,39.22,58.82,20.77,-9.81,3.06,2.41,1.96,80,120,3767,0,3767,-0.45,-0.44,41.33,57.05,44.88,-24.73,4.14,2.61,2.68,1557,2149,0.25,-0.01,-2.12,1.78,0.3916,0.967,0.5395,0.6583,,False,예
KODEX 인버스,21일 → 말일,21,0,204,0,204,-0.21,-0.34,46.08,53.43,14.13,-11.4,3.08,2.16,2.25,94,109,3971,0,3971,-0.45,-0.32,44.02,54.77,17.87,-24.02,3.78,2.43,2.77,1748,2175,0.25,-0.02,2.06,-1.34,0.3906,0.9061,0.6144,0.7712,,False,예
KODEX 인버스,21일 → 말일+1,21,1,204,0,204,-0.32,-0.45,42.65,55.39,7.92,-13.58,3.14,2.37,2.4,87,113,4175,0,4175,-0.54,-0.44,42.4,56.26,23.62,-27.78,3.88,2.51,2.85,1770,2349,0.22,-0.01,0.25,-0.87,0.4406,0.9471,1.0,0.8452,,False,예
KODEX 인버스,21일 → 말일+2,21,2,204,0,204,-0.35,-0.34,46.08,53.92,16.53,-15.28,3.8,2.53,2.81,94,110,4175,0,4175,-0.6,-0.43,43.04,55.93,22.45,-32.48,4.24,2.64,3.1,1797,2335,0.25,0.1,3.04,-2.01,0.4206,0.6523,0.4216,0.5774,,False,예
KODEX 인버스,21일 → 말일+3,21,3,203,0,203,-0.44,-0.33,47.29,52.22,14.93,-17.07,3.83,2.44,3.05,96,106,4155,0,4155,-0.64,-0.37,44.09,54.58,22.26,-33.91,4.46,2.71,3.36,1832,2268,0.2,0.04,3.2,-2.37,0.4825,0.8172,0.3157,0.4396,,False,예
KODEX 인버스,22일 → 말일-3,22,-3,199,0,199,-0.06,0.0,47.24,48.24,11.43,-8.03,1.93,1.35,1.45,94,96,3359,0,3359,-0.38,-0.41,41.38,56.71,33.55,-22.93,3.79,2.52,2.51,1390,1905,0.32,0.41,5.85,-8.47,0.2158,0.045,0.1039,0.015,,False,예
KODEX 인버스,22일 → 말일-2,22,-2,203,0,203,-0.08,-0.08,45.81,51.23,18.27,-10.1,2.57,1.72,1.7,93,104,3563,0,3563,-0.39,-0.39,41.62,57.14,41.75,-23.16,3.99,2.58,2.56,1483,2036,0.3,0.31,4.19,-5.91,0.2258,0.0679,0.2138,0.0709,,False,예
KODEX 인버스,22일 → 말일-1,22,-1,204,0,204,-0.17,-0.36,43.14,56.37,20.88,-9.81,2.98,2.07,1.89,88,115,3767,0,3767,-0.45,-0.44,41.33,57.05,44.88,-24.73,4.14,2.61,2.68,1557,2149,0.28,0.08,1.8,-0.68,0.3407,0.7083,0.6883,0.9071,,False,예
KODEX 인버스,22일 → 말일,22,0,204,0,204,-0.17,-0.31,44.61,54.9,14.13,-11.4,3.01,2.16,2.07,91,112,3971,0,3971,-0.45,-0.32,44.02,54.77,17.87,-24.02,3.78,2.43,2.77,1748,2175,0.28,0.01,0.59,0.13,0.3227,0.961,0.9321,0.9461,,False,예
KODEX 인버스,22일 → 말일+1,22,1,204,0,204,-0.29,-0.2,43.63,53.92,8.8,-13.5,3.02,2.16,2.29,89,110,4175,0,4175,-0.54,-0.44,42.4,56.26,23.62,-27.78,3.88,2.51,2.85,1770,2349,0.25,0.25,1.23,-2.34,0.3716,0.3457,0.8042,0.5624,,False,예
KODEX 인버스,22일 → 말일+2,22,2,204,0,204,-0.31,-0.31,45.59,53.92,17.49,-15.1,3.7,2.47,2.67,93,110,4175,0,4175,-0.6,-0.43,43.04,55.93,22.45,-32.48,4.24,2.64,3.1,1797,2335,0.28,0.12,2.55,-2.01,0.3726,0.5465,0.4965,0.5774,,False,예
KODEX 인버스,22일 → 말일+3,22,3,203,0,203,-0.4,-0.28,47.29,51.23,13.79,-16.89,3.74,2.39,2.99,96,104,4155,0,4155,-0.64,-0.37,44.09,54.58,22.26,-33.91,4.46,2.71,3.36,1832,2268,0.23,0.09,3.2,-3.35,0.4146,0.6633,0.3157,0.2927,,False,예
KODEX 인버스,23일 → 말일-3,23,-3,191,0,191,-0.14,-0.11,44.5,52.88,16.57,-12.97,2.18,1.27,1.33,85,101,3359,0,3359,-0.38,-0.41,41.38,56.71,33.55,-22.93,3.79,2.52,2.51,1390,1905,0.24,0.3,3.12,-3.83,0.3686,0.1249,0.4126,0.3167,,False,예
KODEX 인버스,23일 → 말일-2,23,-2,202,0,202,-0.16,-0.13,43.56,53.47,23.73,-14.92,2.68,1.56,1.57,88,108,3563,0,3563,-0.39,-0.39,41.62,57.14,41.75,-23.16,3.99,2.58,2.56,1483,2036,0.23,0.26,1.94,-3.68,0.3746,0.1189,0.5764,0.2797,,False,예
KODEX 인버스,23일 → 말일-1,23,-1,204,0,204,-0.25,-0.32,42.16,56.37,26.46,-14.65,3.07,1.9,1.86,86,115,3767,0,3767,-0.45,-0.44,41.33,57.05,44.88,-24.73,4.14,2.61,2.68,1557,2149,0.2,0.12,0.82,-0.68,0.4745,0.5654,0.8971,0.9071,,False,예
KODEX 인버스,23일 → 말일,23,0,204,0,204,-0.26,-0.26,43.14,54.9,8.71,-16.15,2.83,2.02,2.05,88,112,3971,0,3971,-0.45,-0.32,44.02,54.77,17.87,-24.02,3.78,2.43,2.77,1748,2175,0.19,0.07,-0.88,0.13,0.5005,0.7203,0.7572,0.9461,,False,예
KODEX 인버스,23일 → 말일+1,23,1,204,0,204,-0.37,-0.21,45.1,53.43,7.91,-13.5,2.94,1.92,2.32,92,109,4175,0,4175,-0.54,-0.44,42.4,56.26,23.62,-27.78,3.88,2.51,2.85,1770,2349,0.17,0.23,2.7,-2.83,0.5475,0.3766,0.4965,0.4595,,False,예
KODEX 인버스,23일 → 말일+2,23,2,204,0,204,-0.4,-0.26,44.61,53.92,11.77,-14.81,3.42,2.2,2.57,91,110,4175,0,4175,-0.6,-0.43,43.04,55.93,22.45,-32.48,4.24,2.64,3.1,1797,2335,0.19,0.18,1.57,-2.01,0.5315,0.4066,0.6763,0.5774,,False,예
KODEX 인버스,23일 → 말일+3,23,3,203,0,203,-0.49,-0.23,44.33,52.22,14.07,-15.93,3.59,2.23,2.83,90,106,4155,0,4155,-0.64,-0.37,44.09,54.58,22.26,-33.91,4.46,2.71,3.36,1832,2268,0.15,0.14,0.24,-2.37,0.6134,0.5305,0.9341,0.4396,,False,예
KODEX 인버스,24일 → 말일-3,24,-3,173,0,173,-0.1,-0.15,43.93,53.18,10.04,-6.25,1.56,1.1,1.1,76,92,3359,0,3359,-0.38,-0.41,41.38,56.71,33.55,-22.93,3.79,2.52,2.51,1390,1905,0.28,0.26,2.55,-3.53,0.3497,0.2388,0.5415,0.4116,,False,예
KODEX 인버스,24일 → 말일-2,24,-2,195,0,195,-0.17,-0.12,41.03,54.87,16.8,-5.93,2.02,1.33,1.3,80,107,3563,0,3563,-0.39,-0.39,41.62,57.14,41.75,-23.16,3.99,2.58,2.56,1483,2036,0.22,0.26,-0.6,-2.27,0.3896,0.1129,0.9491,0.5225,,False,예
KODEX 인버스,24일 → 말일-1,24,-1,203,0,203,-0.25,-0.26,41.87,55.67,19.38,-6.37,2.47,1.63,1.67,85,113,3767,0,3767,-0.45,-0.44,41.33,57.05,44.88,-24.73,4.14,2.61,2.68,1557,2149,0.2,0.18,0.54,-1.38,0.4785,0.4006,0.955,0.7652,,False,예
KODEX 인버스,24일 → 말일,24,0,204,0,204,-0.25,-0.26,42.65,55.39,10.48,-9.0,2.52,1.86,1.88,87,113,3971,0,3971,-0.45,-0.32,44.02,54.77,17.87,-24.02,3.78,2.43,2.77,1748,2175,0.2,0.07,-1.37,0.62,0.4835,0.7403,0.6713,0.8192,,False,예
KODEX 인버스,24일 → 말일+1,24,1,204,0,204,-0.36,-0.28,41.67,56.37,5.99,-13.5,2.58,1.86,2.01,85,115,4175,0,4175,-0.54,-0.44,42.4,56.26,23.62,-27.78,3.88,2.51,2.85,1770,2349,0.18,0.16,-0.73,0.11,0.5385,0.5724,0.8521,1.0,,False,예
KODEX 인버스,24일 → 말일+2,24,2,204,0,204,-0.39,-0.33,44.12,53.92,14.64,-14.48,3.24,2.12,2.46,90,110,4175,0,4175,-0.6,-0.43,43.04,55.93,22.45,-32.48,4.24,2.64,3.1,1797,2335,0.2,0.1,1.08,-2.01,0.5025,0.6264,0.7902,0.5774,,False,예
KODEX 인버스,24일 → 말일+3,24,3,203,0,203,-0.46,-0.17,44.83,52.22,13.37,-16.29,3.35,2.12,2.7,91,106,4155,0,4155,-0.64,-0.37,44.09,54.58,22.26,-33.91,4.46,2.71,3.36,1832,2268,0.17,0.2,0.74,-2.37,0.5495,0.3906,0.8202,0.4396,,False,예
