대상,월,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
코스닥 종합지수,9,최근 10년,10,0,10,-3.07,-3.27,30.0,70.0,2.08,-11.53,3.85,183,0,183,-2.0,-1.23,31.69,68.31,8.17,-15.58,4.51,-1.07,-2.04,-1.69,1.69,0.4276,0.1349,1.0,1.0,,False,예
코스닥 종합지수,9,최근 5년,5,0,5,-4.14,-4.1,20.0,80.0,2.08,-11.53,4.91,90,0,90,-3.03,-2.65,28.89,71.11,8.17,-15.58,5.87,-1.11,-1.45,-8.89,8.89,,,,,표본 부족으로 검정 불가,False,아니오
코스닥 종합지수,10,앞 절반,15,0,15,-1.42,0.59,53.33,46.67,4.64,-12.76,4.93,292,0,292,-1.02,-0.22,45.89,53.77,19.24,-30.14,7.05,-0.4,0.81,7.44,-7.1,0.7632,0.4226,0.7912,0.7982,,True,예
코스닥 종합지수,10,뒤 절반,15,0,15,-0.97,-0.93,46.67,53.33,4.41,-12.4,4.23,261,0,261,-1.63,-0.41,42.91,57.09,7.59,-20.56,4.84,0.66,-0.52,3.75,-3.75,0.6144,0.8222,0.7692,0.7692,,False,예
코스닥 종합지수,10,최근 10년,10,0,10,-1.76,-1.14,40.0,60.0,3.16,-12.4,4.8,182,0,182,-2.02,-0.3,43.41,56.59,7.59,-20.56,5.58,0.26,-0.84,-3.41,3.41,0.9251,0.978,1.0,1.0,,False,예
코스닥 종합지수,10,최근 5년,5,0,5,-0.32,-0.93,40.0,60.0,2.81,-4.31,2.89,90,0,90,-0.6,-0.15,46.67,53.33,7.59,-11.9,4.37,0.28,-0.78,-6.67,6.67,,,,,표본 부족으로 검정 불가,False,아니오
코스닥 종합지수,11,앞 절반,15,0,15,0.77,0.32,60.0,40.0,12.61,-16.1,6.82,296,0,296,0.3,0.87,56.76,43.24,22.08,-17.61,6.95,0.47,-0.55,3.24,-3.24,0.7902,0.8801,1.0,1.0,,False,예
코스닥 종합지수,11,뒤 절반,15,0,15,-0.46,0.47,53.33,46.67,2.56,-7.32,2.71,288,0,288,0.12,0.23,53.82,45.83,12.51,-10.06,3.75,-0.58,0.24,-0.49,0.83,0.5834,0.7033,1.0,1.0,,True,예
코스닥 종합지수,11,최근 10년,10,0,10,-0.94,-0.51,40.0,60.0,2.32,-7.32,3.07,205,0,205,0.14,0.0,49.76,49.76,12.51,-10.06,4.34,-1.09,-0.51,-9.76,10.24,0.4336,0.7552,0.5305,0.5275,,False,예
코스닥 종합지수,11,최근 5년,5,0,5,-0.75,-0.33,40.0,60.0,2.32,-7.32,3.94,102,0,102,-0.2,-0.1,49.02,50.0,12.51,-10.06,4.31,-0.55,-0.22,-9.02,10.0,,,,,표본 부족으로 검정 불가,False,아니오
코스닥 종합지수,12,앞 절반,15,0,15,-1.11,-0.62,33.33,66.67,7.48,-14.3,5.48,266,0,266,-1.4,-0.22,46.24,53.76,18.86,-26.06,7.8,0.28,-0.4,-12.91,12.91,0.9081,0.9271,0.4286,0.4286,,False,예
코스닥 종합지수,12,뒤 절반,15,0,15,2.01,2.18,93.33,6.67,5.71,-3.39,2.02,271,0,271,1.8,1.89,74.91,25.09,9.79,-8.28,3.21,0.2,0.29,18.43,-18.43,0.7882,0.7682,0.1309,0.1309,,False,예
코스닥 종합지수,12,최근 10년,10,0,10,1.84,1.83,90.0,10.0,5.71,-3.39,2.45,193,0,193,1.94,2.22,75.65,24.35,9.79,-8.28,3.59,-0.1,-0.39,14.35,-14.35,0.9261,0.7303,0.4466,0.4466,,False,예
코스닥 종합지수,12,최근 5년,5,0,5,0.8,1.11,80.0,20.0,4.39,-3.39,2.79,98,0,98,0.31,0.63,59.18,40.82,8.16,-8.28,3.49,0.5,0.48,20.82,-20.82,,,,,표본 부족으로 검정 불가,False,아니오
