대상,격자 칸,진입 달력일,청산 상대 거래일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
코스피200 지수,19일 → 말일+2,19,2,440,0,440,0.46,0.33,53.86,46.14,24.27,-22.35,4.99,9457,0,9457,0.58,0.43,54.86,45.08,45.83,-31.09,5.79,-0.12,-0.1,-1.0,1.06,0.6703,0.6464,0.7133,0.7203,,False,예
코스피200 지수,19일 → 말일+3,19,3,440,0,440,0.56,0.38,53.86,46.14,23.45,-20.56,5.24,9457,0,9457,0.68,0.42,54.01,45.94,48.44,-29.51,6.12,-0.11,-0.04,-0.15,0.19,0.6853,0.8701,1.0,0.962,,False,예
코스피200 지수,20일 → 말일-3,20,-3,437,0,437,-0.33,-0.13,46.22,53.32,12.0,-16.29,3.36,7697,0,7697,-0.11,0.02,50.16,49.72,34.14,-29.18,5.02,-0.21,-0.15,-3.94,3.6,0.3776,0.3626,0.1089,0.1389,,False,예
코스피200 지수,20일 → 말일-2,20,-2,440,0,440,-0.29,0.02,50.23,49.55,15.4,-18.3,3.65,8137,0,8137,-0.08,0.04,50.4,49.5,37.23,-33.56,5.07,-0.21,-0.02,-0.17,0.04,0.3457,0.994,0.958,1.0,,True,예
코스피200 지수,20일 → 말일-1,20,-1,440,0,440,-0.21,-0.01,49.55,50.0,14.84,-15.5,3.88,8577,0,8577,0.02,0.08,51.04,48.86,47.92,-34.66,5.27,-0.23,-0.09,-1.5,1.14,0.3117,0.6344,0.5764,0.6793,,False,예
코스피200 지수,20일 → 말일,20,0,440,0,440,-0.04,0.02,50.45,49.55,19.37,-15.31,4.14,9017,0,9017,0.19,0.13,51.59,48.32,50.15,-26.84,5.32,-0.23,-0.11,-1.14,1.23,0.3896,0.5724,0.6883,0.6543,,True,예
코스피200 지수,20일 → 말일+1,20,1,440,0,440,0.31,0.3,54.09,45.91,24.38,-17.3,4.38,9457,0,9457,0.53,0.42,54.96,45.0,43.04,-28.31,5.4,-0.22,-0.12,-0.87,0.91,0.3946,0.5445,0.7413,0.7443,,False,예
코스피200 지수,20일 → 말일+2,20,2,440,0,440,0.36,0.28,54.09,45.91,25.03,-20.5,4.84,9457,0,9457,0.58,0.43,54.86,45.08,45.83,-31.09,5.79,-0.22,-0.15,-0.77,0.83,0.4226,0.4655,0.7822,0.7802,,False,예
코스피200 지수,20일 → 말일+3,20,3,440,0,440,0.46,0.26,52.27,47.73,22.88,-18.67,5.12,9457,0,9457,0.68,0.42,54.01,45.94,48.44,-29.51,6.12,-0.21,-0.16,-1.74,1.78,0.4695,0.4995,0.4845,0.4625,,False,예
코스피200 지수,21일 → 말일-3,21,-3,435,0,435,-0.32,-0.03,48.51,51.26,12.98,-15.01,3.11,7697,0,7697,-0.11,0.02,50.16,49.72,34.14,-29.18,5.02,-0.21,-0.05,-1.66,1.54,0.3966,0.7972,0.5335,0.5644,,False,예
