대상,격자 칸,진입 달력일,청산 상대 거래일,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 200,16일 → 말일-2,16,-2,최근 5년,60,0,60,0.44,0.37,51.67,48.33,11.43,-17.79,4.52,1038,0,1038,0.83,0.51,57.13,42.77,28.79,-33.39,5.74,-0.39,-0.14,-5.46,5.56,0.5804,0.7802,0.4116,0.4166,,False,예
KODEX 200,16일 → 말일-1,16,-1,앞 절반,143,0,143,0.39,0.37,56.64,42.66,8.39,-10.71,3.39,2655,0,2655,0.47,0.61,58.08,41.43,21.88,-20.49,3.92,-0.09,-0.24,-1.44,1.23,0.7582,0.3676,0.7323,0.7892,,False,예
KODEX 200,16일 → 말일-1,16,-1,뒤 절반,144,0,144,0.21,0.4,57.64,42.36,16.08,-19.6,3.8,2639,0,2639,0.4,0.3,55.06,44.6,30.71,-34.86,4.53,-0.19,0.1,2.58,-2.24,0.6414,0.5644,0.5495,0.5994,,False,예
KODEX 200,16일 → 말일-1,16,-1,최근 10년,120,0,120,0.15,0.24,55.0,45.0,16.08,-19.6,4.09,2208,0,2208,0.4,0.27,54.48,45.2,30.71,-34.86,4.89,-0.26,-0.03,0.52,-0.2,0.5455,0.9221,0.9171,1.0,,False,예
KODEX 200,16일 → 말일-1,16,-1,최근 5년,60,0,60,0.27,0.63,55.0,45.0,16.08,-19.6,5.21,1098,0,1098,0.6,0.36,53.83,45.9,30.71,-34.86,6.12,-0.33,0.27,1.17,-0.9,0.6663,0.6264,0.8871,1.0,,False,예
KODEX 200,16일 → 말일,16,0,앞 절반,143,0,143,0.74,0.56,59.44,39.86,10.42,-9.74,3.55,2797,0,2797,0.82,0.86,61.64,37.72,23.77,-19.26,3.99,-0.08,-0.3,-2.2,2.14,0.7493,0.3337,0.5974,0.5944,,False,예
KODEX 200,16일 → 말일,16,0,뒤 절반,144,0,144,0.19,0.26,54.86,45.14,15.03,-11.29,3.7,2782,0,2782,0.37,0.22,53.59,46.01,29.46,-19.11,4.26,-0.18,0.04,1.27,-0.87,0.5624,0.8042,0.7173,0.8322,,False,예
KODEX 200,16일 → 말일,16,0,최근 10년,120,0,120,0.14,0.19,51.67,48.33,15.03,-11.29,3.98,2328,0,2328,0.39,0.19,52.53,47.08,29.46,-19.11,4.59,-0.25,0.0,-0.87,1.25,0.5185,0.962,0.8492,0.7762,,False,예
KODEX 200,16일 → 말일,16,0,최근 5년,60,0,60,0.46,-0.31,48.33,51.67,15.03,-9.1,4.8,1158,0,1158,0.78,0.23,52.42,47.32,29.46,-19.11,5.52,-0.32,-0.54,-4.08,4.34,0.6284,0.3327,0.5165,0.5095,,True,예
KODEX 200,16일 → 말일+1,16,1,앞 절반,143,0,143,0.86,0.93,62.24,37.76,10.16,-12.31,3.85,2939,0,2939,0.93,1.04,62.88,36.75,22.7,-19.96,4.21,-0.06,-0.11,-0.64,1.02,0.8561,0.8112,0.8482,0.7892,,False,예
KODEX 200,16일 → 말일+1,16,1,뒤 절반,144,0,144,0.27,0.39,55.56,44.44,20.64,-10.44,3.98,2925,0,2925,0.44,0.29,54.5,45.3,34.67,-26.33,4.43,-0.17,0.1,1.06,-0.85,0.6723,0.6733,0.8422,0.8521,,False,예
KODEX 200,16일 → 말일+1,16,1,최근 10년,120,0,120,0.26,0.27,54.17,45.83,20.64,-10.44,4.26,2448,0,2448,0.49,0.29,54.21,45.63,34.67,-26.33,4.76,-0.23,-0.02,-0.04,0.2,0.6214,0.951,0.9251,1.0,,False,예
KODEX 200,16일 → 말일+1,16,1,최근 5년,60,0,60,0.45,-0.12,48.33,51.67,20.64,-9.08,5.15,1218,0,1218,0.75,0.15,51.56,48.36,34.67,-26.33,5.72,-0.29,-0.28,-3.23,3.31,0.6803,0.6583,0.6583,0.6573,,True,예
KODEX 200,16일 → 말일+2,16,2,앞 절반,143,0,143,0.93,1.0,62.94,37.06,12.63,-11.9,4.04,2939,0,2939,0.98,1.12,62.47,37.19,25.25,-18.29,4.39,-0.05,-0.12,0.47,-0.13,0.9001,0.7702,0.9331,1.0,,False,예
