대상,월,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 인버스,12,17,0,17,-1.61,-0.94,17.65,82.35,2.97,-6.54,2.36,330,0,330,-1.45,-1.03,29.7,68.79,9.37,-11.26,3.36,-0.15,0.09,-12.05,13.57,0.8621,0.7762,0.2937,0.2947,,False,예
코스피200 지수,1,37,0,37,-0.07,-0.14,48.65,51.35,8.46,-6.89,4.44,752,0,752,0.9,0.16,51.33,48.54,50.15,-11.88,6.66,-0.97,-0.29,-2.68,2.81,0.3706,0.6733,0.8591,0.7403,,False,예
코스피200 지수,2,37,0,37,-0.83,-0.27,40.54,59.46,8.76,-9.65,3.79,691,0,691,-0.54,-0.53,41.53,58.32,28.65,-16.07,5.37,-0.3,0.26,-0.99,1.14,0.7383,0.5355,1.0,1.0,,False,예
코스피200 지수,3,37,0,37,0.05,0.47,54.05,45.95,10.83,-13.67,4.32,786,0,786,0.29,0.5,57.89,41.98,18.84,-18.66,4.62,-0.24,-0.04,-3.83,3.96,0.7622,0.977,0.7353,0.7313,,False,예
코스피200 지수,4,37,0,37,-0.0,0.58,54.05,45.95,6.03,-10.24,3.72,773,0,773,0.84,0.85,58.86,41.14,28.08,-18.35,5.44,-0.84,-0.27,-4.81,4.81,0.3367,0.7582,0.6114,0.6114,,True,예
코스피200 지수,5,37,0,37,0.86,1.46,59.46,40.54,19.31,-11.07,4.71,741,0,741,0.52,0.52,55.47,44.4,27.93,-19.09,4.81,0.34,0.94,3.99,-3.86,0.7073,0.2478,0.6434,0.7512,,False,예
코스피200 지수,6,37,0,37,-0.31,-0.42,45.95,54.05,6.38,-6.08,3.03,756,0,756,-0.4,-0.18,47.75,51.98,19.49,-14.27,4.12,0.08,-0.24,-1.81,2.07,0.9241,0.6973,0.8781,0.8771,,False,예
코스피200 지수,7,37,0,37,0.03,0.17,51.35,48.65,9.15,-9.79,3.61,807,0,807,0.29,0.05,50.68,49.32,20.03,-21.61,5.16,-0.26,0.11,0.67,-0.67,0.7123,0.8432,1.0,1.0,,False,예
코스피200 지수,8,37,0,37,0.66,-0.04,48.65,51.35,19.37,-8.71,4.85,790,0,790,-0.0,-0.1,48.61,51.39,21.86,-14.24,4.57,0.66,0.07,0.04,-0.04,0.3686,0.9141,1.0,1.0,,True,예
코스피200 지수,9,36,0,36,-1.11,-0.71,44.44,55.56,4.62,-11.0,3.56,706,0,706,-0.4,0.03,50.42,49.58,11.98,-15.64,4.66,-0.71,-0.73,-5.98,5.98,0.3806,0.2777,0.6134,0.6134,,False,예
